GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A83001,A83002,A83003,A84001,A84002,A84003
"G0100010","1920","Alabama","010","Autauga","0010","Autauga",2577,1249,902,275,72,239
"G0100030","1920","Alabama","010","Baldwin","0030","Baldwin",1595,2730,2209,416,105,388
"G0100050","1920","Alabama","010","Barbour","0050","Barbour",4716,1898,1385,441,72,172
"G0100070","1920","Alabama","010","Bibb","0070","Bibb",3298,1495,1246,235,14,36
"G0100090","1920","Alabama","010","Blount","0090","Blount",2366,2604,1829,717,58,126
"G0100110","1920","Alabama","010","Bullock","0110","Bullock",4276,954,734,172,48,262
"G0100130","1920","Alabama","010","Butler","0130","Butler",3675,2330,1449,619,262,152
"G0100150","1920","Alabama","010","Calhoun","0150","Calhoun",6368,3432,2612,741,79,302
"G0100170","1920","Alabama","010","Chambers","0170","Chambers",5966,1845,1326,377,142,670
"G0100190","1920","Alabama","010","Cherokee","0190","Cherokee",2519,1602,1137,325,140,74
"G0100210","1920","Alabama","010","Chilton","0210","Chilton",2418,2343,1769,562,12,68
"G0100230","1920","Alabama","010","Choctaw","0230","Choctaw",2417,1589,1249,229,111,195
"G0100250","1920","Alabama","010","Clarke","0250","Clarke",2751,2649,2264,308,77,164
"G0100270","1920","Alabama","010","Clay","0270","Clay",2354,2112,1719,349,44,111
"G0100290","1920","Alabama","010","Cleburne","0290","Cleburne",1256,1415,1218,168,29,34
"G0100310","1920","Alabama","010","Coffee","0310","Coffee",3696,2204,1454,582,168,203
"G0100330","1920","Alabama","010","Colbert","0330","Colbert",4506,2209,1571,556,82,162
"G0100350","1920","Alabama","010","Conecuh","0350","Conecuh",2591,2426,1712,664,50,135
"G0100370","1920","Alabama","010","Coosa","0370","Coosa",1602,1210,950,237,23,97
"G0100390","1920","Alabama","010","Covington","0390","Covington",4493,3062,2011,917,134,212
"G0100410","1920","Alabama","010","Crenshaw","0410","Crenshaw",2726,1940,1393,435,112,164
"G0100430","1920","Alabama","010","Cullman","0430","Cullman",2343,4240,2602,1560,78,143
"G0100450","1920","Alabama","010","Dale","0450","Dale",2672,1991,1443,512,36,80
"G0100470","1920","Alabama","010","Dallas","0470","Dallas",10483,2169,1573,443,153,790
"G0100490","1920","Alabama","010","DeKalb","0490","Dekalb",2829,3875,2775,905,195,125
"G0100510","1920","Alabama","010","Elmore","0510","Elmore",3441,2043,1375,513,155,333
"G0100530","1920","Alabama","010","Escambia","0530","Escambia",2343,2174,1333,542,299,90
"G0100550","1920","Alabama","010","Etowah","0550","Etowah",6307,3372,2654,671,47,327
"G0100570","1920","Alabama","010","Fayette","0570","Fayette",1534,2009,1631,369,9,86
"G0100590","1920","Alabama","010","Franklin","0590","Franklin",2161,2184,1611,560,13,22
"G0100610","1920","Alabama","010","Geneva","0610","Geneva",3476,2327,1435,706,186,120
"G0100630","1920","Alabama","010","Greene","0630","Greene",3533,755,569,180,6,28
"G0100650","1920","Alabama","010","Hale","0650","Hale",3890,1498,1048,433,17,39
"G0100670","1920","Alabama","010","Henry","0670","Henry",2796,1351,923,384,44,205
"G0100690","1920","Alabama","010","Houston","0690","Houston",4566,2833,1972,754,107,294
"G0100710","1920","Alabama","010","Jackson","0710","Jackson",3807,3279,2465,714,100,153
"G0100730","1920","Alabama","010","Jefferson","0730","Jefferson",51183,19218,11823,6654,741,2732
"G0100750","1920","Alabama","010","Lamar","0750","Lamar",1735,1826,1397,421,8,29
"G0100770","1920","Alabama","010","Lauderdale","0770","Lauderdale",4369,3308,2465,758,85,436
"G0100790","1920","Alabama","010","Lawrence","0790","Lawrence",2985,1957,1227,622,108,112
"G0100810","1920","Alabama","010","Lee","0810","Lee",4571,2102,1574,296,232,450
"G0100830","1920","Alabama","010","Limestone","0830","Limestone",3832,2468,1659,741,68,147
"G0100850","1920","Alabama","010","Lowndes","0850","Lowndes",4811,795,630,138,27,290
"G0100870","1920","Alabama","010","Macon","0870","Macon",3954,1080,701,318,61,453
"G0100890","1920","Alabama","010","Madison","0890","Madison",6917,3699,2671,898,130,380
"G0100910","1920","Alabama","010","Marengo","0910","Marengo",6040,2073,1557,468,48,265
"G0100930","1920","Alabama","010","Marion","0930","Marion",1827,2375,1625,746,4,11
"G0100950","1920","Alabama","010","Marshall","0950","Marshall",3007,3362,2520,686,156,146
"G0100970","1920","Alabama","010","Mobile","0970","Mobile",15070,8086,6225,1620,241,682
"G0100990","1920","Alabama","010","Monroe","0990","Monroe",3713,2046,1512,495,39,142
"G0101010","1920","Alabama","010","Montgomery","1010","Montgomery",14850,4380,3099,1120,161,799
"G0101030","1920","Alabama","010","Morgan","1030","Morgan",4697,3929,2626,1283,20,185
"G0101050","1920","Alabama","010","Perry","1050","Perry",4115,1557,1103,449,5,64
"G0101070","1920","Alabama","010","Pickens","1070","Pickens",3473,1783,1469,300,14,69
"G0101090","1920","Alabama","010","Pike","1090","Pike",4638,1937,1377,484,76,232
"G0101110","1920","Alabama","010","Randolph","1110","Randolph",2857,2462,2008,370,84,86
"G0101130","1920","Alabama","010","Russell","1130","Russell",4368,1173,837,163,173,403
"G0101150","1920","Alabama","010","St Clair","1150","St Clair",2711,1934,1661,237,36,183
"G0101170","1920","Alabama","010","Shelby","1170","Shelby",3492,2023,1577,279,167,110
"G0101190","1920","Alabama","010","Sumter","1190","Sumter",4596,1094,907,180,7,56
"G0101210","1920","Alabama","010","Talladega","1210","Talladega",5635,2448,1905,358,185,212
"G0101230","1920","Alabama","010","Tallapoosa","1230","Tallapoosa",3568,2051,1509,479,63,496
"G0101250","1920","Alabama","010","Tuscaloosa","1250","Tuscaloosa",7701,3773,2855,874,44,139
"G0101270","1920","Alabama","010","Walker","1270","Walker",7008,3496,2993,480,23,109
"G0101290","1920","Alabama","010","Washington","1290","Washington",1329,1491,1290,164,37,75
"G0101310","1920","Alabama","010","Wilcox","1310","Wilcox",5361,1221,922,164,135,341
"G0101330","1920","Alabama","010","Winston","1330","Winston",996,1818,1184,629,5,15
"G0250015","1920","Alaska Territory","025","First Judicicial Dist","0015","First Judicicial Dist",,,,,,
"G0250035","1920","Alaska Territory","025","Fourth Judicicial Dist","0035","Fourth Judicicial Dist",,,,,,
"G0250075","1920","Alaska Territory","025","Second Judicicial Dist","0075","Second Judicicial Dist",,,,,,
"G0250115","1920","Alaska Territory","025","Third Judicicial Dist","0115","Third Judicicial Dist",,,,,,
"G0400010","1920","Arizona","040","Apache","0010","Apache",855,1891,1824,40,27,95
"G0400030","1920","Arizona","040","Cochise","0030","Cochise",6184,4641,3583,991,67,187
"G0400050","1920","Arizona","040","Coconino","0050","Coconino",1240,1223,1122,90,11,70
"G0400070","1920","Arizona","040","Gila","0070","Gila",3524,2816,2413,352,51,118
"G0400090","1920","Arizona","040","Graham","0090","Graham",767,1337,921,399,17,24
"G0400110","1920","Arizona","040","Greenlee","0110","Greenlee",2208,1241,1063,161,17,72
"G0400130","1920","Arizona","040","Maricopa","0130","Maricopa",12239,7731,3739,3709,283,964
"G0400150","1920","Arizona","040","Mohave","0150","Mohave",835,800,737,39,24,166
"G0400170","1920","Arizona","040","Navajo","0170","Navajo",1190,2595,2458,128,9,80
"G0400190","1920","Arizona","040","Pima","0190","Pima",5091,2867,1853,959,55,319
"G0400210","1920","Arizona","040","Pinal","0210","Pinal",2014,1830,1698,111,21,106
"G0400230","1920","Arizona","040","Santa Cruz","0230","Santa Cruz",1480,784,624,155,5,41
"G0400250","1920","Arizona","040","Yavapai","0250","Yavapai",4328,2027,1625,344,58,364
"G0400270","1920","Arizona","040","Yuma","0270","Yuma",2208,1292,945,319,28,364
"G0500010","1920","Arkansas","050","Arkansas","0010","Arkansas",2470,2084,1537,508,39,178
"G0500030","1920","Arkansas","050","Ashley","0030","Ashley",3356,1618,1198,396,24,67
"G0500050","1920","Arkansas","050","Baxter","0050","Baxter",751,1410,1093,312,5,49
"G0500070","1920","Arkansas","050","Benton","0070","Benton",2731,5820,3985,1750,85,193
"G0500090","1920","Arkansas","050","Boone","0090","Boone",1274,2282,1613,627,42,59
"G0500110","1920","Arkansas","050","Bradley","0110","Bradley",1457,1866,1249,594,23,94
"G0500130","1920","Arkansas","050","Calhoun","0130","Calhoun",1060,1342,983,352,7,46
"G0500150","1920","Arkansas","050","Carroll","0150","Carroll",1320,2711,2008,679,24,71
"G0500170","1920","Arkansas","050","Chicot","0170","Chicot",4301,1295,753,514,28,262
"G0500190","1920","Arkansas","050","Clark","0190","Clark",2599,2737,2121,558,58,104
"G0500210","1920","Arkansas","050","Clay","0210","Clay",3100,2560,1445,1014,101,206
"G0500230","1920","Arkansas","050","Cleburne","0230","Cleburne",914,1796,1347,414,35,30
"G0500250","1920","Arkansas","050","Cleveland","0250","Cleveland",1057,1416,1027,372,17,29
"G0500270","1920","Arkansas","050","Columbia","0270","Columbia",2664,2901,2084,786,31,90
"G0500290","1920","Arkansas","050","Conway","0290","Conway",2270,2324,1776,494,54,151
"G0500310","1920","Arkansas","050","Craighead","0310","Craighead",4843,3120,2106,941,73,221
"G0500330","1920","Arkansas","050","Crawford","0330","Crawford",2471,2824,1822,808,194,223
"G0500350","1920","Arkansas","050","Crittenden","0350","Crittenden",6362,1017,554,307,156,523
"G0500370","1920","Arkansas","050","Cross","0370","Cross",2899,1197,815,285,97,146
"G0500390","1920","Arkansas","050","Dallas","0390","Dallas",1159,1797,1378,413,6,43
"G0500410","1920","Arkansas","050","Desha","0410","Desha",4198,1090,719,344,27,81
"G0500430","1920","Arkansas","050","Drew","0430","Drew",2768,1908,1301,591,16,99
"G0500450","1920","Arkansas","050","Faulkner","0450","Faulkner",2541,3013,2058,910,45,90
"G0500470","1920","Arkansas","050","Franklin","0470","Franklin",1751,2192,1688,475,29,72
"G0500490","1920","Arkansas","050","Fulton","0490","Fulton",765,1608,1286,304,18,18
"G0500510","1920","Arkansas","050","Garland","0510","Garland",3177,3165,2551,578,36,159
"G0500530","1920","Arkansas","050","Grant","0530","Grant",771,1371,939,398,34,33
"G0500550","1920","Arkansas","050","Greene","0550","Greene",2891,2656,1779,835,42,124
"G0500570","1920","Arkansas","050","Hempstead","0570","Hempstead",3530,3127,2113,980,34,83
"G0500590","1920","Arkansas","050","Hot Spring","0590","Hot Spring",1431,2328,1782,538,8,45
"G0500610","1920","Arkansas","050","Howard","0610","Howard",1933,1937,1287,365,285,73
"G0500630","1920","Arkansas","050","Independence","0630","Independence",2395,2629,2114,437,78,91
"G0500650","1920","Arkansas","050","Izard","0650","Izard",1097,1745,1437,287,21,22
"G0500670","1920","Arkansas","050","Jackson","0670","Jackson",3905,1349,961,302,86,360
"G0500690","1920","Arkansas","050","Jefferson","0690","Jefferson",10112,4380,3079,1243,58,316
"G0500710","1920","Arkansas","050","Johnson","0710","Johnson",2005,2357,1714,559,84,114
"G0500730","1920","Arkansas","050","Lafayette","0730","Lafayette",1954,1426,1016,393,17,111
"G0500750","1920","Arkansas","050","Lawrence","0750","Lawrence",2806,1840,1269,523,48,87
"G0500770","1920","Arkansas","050","Lee","0770","Lee",4668,1917,1147,700,70,411
"G0500790","1920","Arkansas","050","Lincoln","0790","Lincoln",3147,1165,744,395,26,101
"G0500810","1920","Arkansas","050","Little River","0810","Little River",2054,1522,964,524,34,80
"G0500830","1920","Arkansas","050","Logan","0830","Logan",2148,3058,1962,1036,60,83
"G0500850","1920","Arkansas","050","Lonoke","0850","Lonoke",4764,2459,1634,788,37,94
"G0500870","1920","Arkansas","050","Madison","0870","Madison",945,2157,1671,439,47,66
"G0500890","1920","Arkansas","050","Marion","0890","Marion",921,1121,850,164,107,45
"G0500910","1920","Arkansas","050","Miller","0910","Miller",2650,2465,1440,931,94,400
"G0500930","1920","Arkansas","050","Mississippi","0930","Mississippi",8652,1996,1089,709,198,820
"G0500950","1920","Arkansas","050","Monroe","0950","Monroe",3411,1440,949,390,101,101
"G0500970","1920","Arkansas","050","Montgomery","0970","Montgomery",747,1434,899,320,215,123
"G0500990","1920","Arkansas","050","Nevada","0990","Nevada",2098,2319,1414,872,33,68
"G0501010","1920","Arkansas","050","Newton","1010","Newton",565,1597,1433,152,12,65
"G0501030","1920","Arkansas","050","Ouachita","1030","Ouachita",2009,2105,1561,484,60,228
"G0501050","1920","Arkansas","050","Perry","1050","Perry",1005,964,690,263,11,47
"G0501070","1920","Arkansas","050","Phillips","1070","Phillips",8937,2449,1533,813,103,363
"G0501090","1920","Arkansas","050","Pike","1090","Pike",1081,1478,1176,286,16,75
"G0501110","1920","Arkansas","050","Poinsett","1110","Poinsett",3138,1254,722,393,139,238
"G0501130","1920","Arkansas","050","Polk","1130","Polk",1202,2450,1677,761,12,68
"G0501150","1920","Arkansas","050","Pope","1150","Pope",2573,2968,2019,833,116,136
"G0501170","1920","Arkansas","050","Prairie","1170","Prairie",2155,1664,1119,513,32,66
"G0501190","1920","Arkansas","050","Pulaski","1190","Pulaski",14285,9664,6082,3288,294,779
"G0501210","1920","Arkansas","050","Randolph","1210","Randolph",1910,1819,1127,467,225,90
"G0501230","1920","Arkansas","050","St Francis","1230","St Francis",4701,1593,1071,448,74,292
"G0501250","1920","Arkansas","050","Saline","1250","Saline",1626,1908,1462,420,26,67
"G0501270","1920","Arkansas","050","Scott","1270","Scott",1136,1598,1000,406,192,101
"G0501290","1920","Arkansas","050","Searcy","1290","Searcy",1025,1907,1410,453,44,78
"G0501310","1920","Arkansas","050","Sebastian","1310","Sebastian",6599,6010,4028,1859,123,308
"G0501330","1920","Arkansas","050","Sevier","1330","Sevier",1613,2012,1239,624,149,125
"G0501350","1920","Arkansas","050","Sharp","1350","Sharp",859,1497,1134,332,31,16
"G0501370","1920","Arkansas","050","Stone","1370","Stone",523,1191,1068,68,55,66
"G0501390","1920","Arkansas","050","Union","1390","Union",2986,3104,2226,838,40,87
"G0501410","1920","Arkansas","050","Van Buren","1410","Van Buren",837,1939,1589,310,40,46
"G0501430","1920","Arkansas","050","Washington","1430","Washington",2873,5144,3689,1364,91,173
"G0501450","1920","Arkansas","050","White","1450","White",3300,4195,2906,1182,107,87
"G0501470","1920","Arkansas","050","Woodruff","1470","Woodruff",3450,1091,801,219,71,259
"G0501490","1920","Arkansas","050","Yell","1490","Yell",2810,2361,1767,497,97,201
"G0600010","1920","California","060","Alameda","0010","Alameda",48138,40114,21771,17788,555,1481
"G0600030","1920","California","060","Alpine","0030","Alpine",26,42,34,8,0,0
"G0600050","1920","California","060","Amador","0050","Amador",880,1056,941,107,8,13
"G0600070","1920","California","060","Butte","0070","Butte",3360,4305,2840,1425,40,252
"G0600090","1920","California","060","Calaveras","0090","Calaveras",699,1103,960,140,3,7
"G0600110","1920","California","060","Colusa","0110","Colusa",1109,1136,724,291,121,117
"G0600130","1920","California","060","Contra Costa","0130","Contra Costa",6694,5700,3333,2239,128,477
"G0600150","1920","California","060","Del Norte","0150","Del Norte",441,331,262,67,2,21
"G0600170","1920","California","060","El Dorado","0170","El Dorado",799,1201,974,220,7,14
"G0600190","1920","California","060","Fresno","0190","Fresno",13605,16900,7095,9213,592,832
"G0600210","1920","California","060","Glenn","0210","Glenn",1011,1556,686,792,78,385
"G0600230","1920","California","060","Humboldt","0230","Humboldt",5244,4019,2897,963,159,412
"G0600250","1920","California","060","Imperial","0250","Imperial",6808,3043,1298,1539,206,823
"G0600270","1920","California","060","Inyo","0270","Inyo",1026,837,634,172,31,226
"G0600290","1920","California","060","Kern","0290","Kern",7361,5617,3454,1990,173,1012
"G0600310","1920","California","060","Kings","0310","Kings",2530,2739,1396,1280,63,185
"G0600330","1920","California","060","Lake","0330","Lake",499,1001,666,322,13,82
"G0600350","1920","California","060","Lassen","0350","Lassen",1121,835,547,287,1,4
"G0600370","1920","California","060","Los Angeles","0370","Los Angeles",151856,104245,55720,47101,1424,4996
"G0600390","1920","California","060","Madera","0390","Madera",1132,1778,952,802,24,79
"G0600410","1920","California","060","Marin","0410","Marin",2982,3391,2210,1019,162,225
"G0600430","1920","California","060","Mariposa","0430","Mariposa",437,497,416,81,0,5
"G0600435","1920","California","060","Mariposa-Mono [multi-county reporting area]","0435","Mariposa-Mono (multi-county reporting area)",,,,,,
"G0600450","1920","California","060","Mendocino","0450","Mendocino",2969,3025,2192,744,89,294
"G0600470","1920","California","060","Merced","0470","Merced",2307,2872,1480,1327,65,347
"G0600490","1920","California","060","Modoc","0490","Modoc",552,932,643,287,2,8
"G0600510","1920","California","060","Mono","0510","Mono",85,189,144,13,32,27
"G0600530","1920","California","060","Monterey","0530","Monterey",3446,3416,2300,874,242,453
"G0600550","1920","California","060","Napa","0550","Napa",2034,2666,1804,815,47,165
"G0600570","1920","California","060","Nevada","0570","Nevada",1455,1706,1507,179,20,14
"G0600590","1920","California","060","Orange","0590","Orange",7417,8599,4681,3802,116,418
"G0600610","1920","California","060","Placer","0610","Placer",2647,2555,1833,714,8,35
"G0600630","1920","California","060","Plumas","0630","Plumas",947,539,443,75,21,84
"G0600650","1920","California","060","Riverside","0650","Riverside",6574,6431,3759,2546,126,389
"G0600670","1920","California","060","Sacramento","0670","Sacramento",13827,8758,5000,3647,111,650
"G0600690","1920","California","060","San Benito","0690","San Benito",1032,1213,774,385,54,131
"G0600710","1920","California","060","San Bernardino","0710","San Bernardino",10034,9122,5253,3670,199,590
"G0600730","1920","California","060","San Diego","0730","San Diego",18551,13732,8714,4811,207,862
"G0600750","1920","California","060","San Francisco","0750","San Francisco",87754,33159,19252,13100,807,2436
"G0600770","1920","California","060","San Joaquin","0770","San Joaquin",9527,9362,4623,4312,427,708
"G0600790","1920","California","060","San Luis Obispo","0790","San Luis Obispo",2727,2885,1923,905,57,278
"G0600810","1920","California","060","San Mateo","0810","San Mateo",3716,5027,2976,1883,168,309
"G0600830","1920","California","060","Santa Barbara","0830","Santa Barbara",5955,4191,2501,1451,239,624
"G0600850","1920","California","060","Santa Clara","0850","Santa Clara",10879,14385,9103,4979,303,737
"G0600870","1920","California","060","Santa Cruz","0870","Santa Cruz",3559,4121,2871,1089,161,200
"G0600890","1920","California","060","Shasta","0890","Shasta",1822,1873,1504,349,20,30
"G0600910","1920","California","060","Sierra","0910","Sierra",201,406,387,19,0,1
"G0600930","1920","California","060","Siskiyou","0930","Siskiyou",2678,2275,1746,523,6,47
"G0600950","1920","California","060","Solano","0950","Solano",5434,3843,2541,1238,64,296
"G0600970","1920","California","060","Sonoma","0970","Sonoma",5276,8428,5332,3013,83,529
"G0600990","1920","California","060","Stanislaus","0990","Stanislaus",4282,6332,2895,3159,278,305
"G0601010","1920","California","060","Sutter","1010","Sutter",927,1554,815,607,132,244
"G0601030","1920","California","060","Tehama","1030","Tehama",1460,2077,1178,881,18,48
"G0601050","1920","California","060","Trinity","1050","Trinity",297,503,433,69,1,4
"G0601070","1920","California","060","Tulare","1070","Tulare",6314,7999,3819,4007,173,522
"G0601090","1920","California","060","Tuolumne","1090","Tuolumne",1034,1117,925,178,14,47
"G0601110","1920","California","060","Ventura","1110","Ventura",4164,2811,1570,1070,171,414
"G0601130","1920","California","060","Yolo","1130","Yolo",2044,2330,1576,727,27,186
"G0601150","1920","California","060","Yuba","1150","Yuba",1492,955,728,179,48,141
"G0800010","1920","Colorado","080","Adams","0010","Adams",1187,1949,916,945,88,96
"G0800030","1920","Colorado","080","Alamosa","0030","Alamosa",575,590,237,166,187,113
"G0800050","1920","Colorado","080","Arapahoe","0050","Arapahoe",1249,2143,1100,967,76,96
"G0800070","1920","Colorado","080","Archuleta","0070","Archuleta",380,464,336,122,6,8
"G0800090","1920","Colorado","080","Baca","0090","Baca",355,1794,1112,660,22,35
"G0800110","1920","Colorado","080","Bent","0110","Bent",867,1287,894,372,21,55
"G0800130","1920","Colorado","080","Boulder","0130","Boulder",3585,4508,2936,1461,111,127
"G0800150","1920","Colorado","080","Chaffee","0150","Chaffee",1048,1036,755,276,5,8
"G0800170","1920","Colorado","080","Cheyenne","0170","Cheyenne",229,650,304,314,32,44
"G0800190","1920","Colorado","080","Clear Creek","0190","Clear Creek",478,407,333,44,30,22
"G0800210","1920","Colorado","080","Conejos","0210","Conejos",630,1155,901,247,7,25
"G0800230","1920","Colorado","080","Costilla","0230","Costilla",351,761,634,122,5,25
"G0800250","1920","Colorado","080","Crowley","0250","Crowley",605,803,406,373,24,62
"G0800270","1920","Colorado","080","Custer","0270","Custer",190,393,312,79,2,19
"G0800290","1920","Colorado","080","Delta","0290","Delta",1349,1951,1130,808,13,19
"G0800310","1920","Colorado","080","Denver","0310","Denver",37768,23436,13325,9930,181,712
"G0800330","1920","Colorado","080","Dolores","0330","Dolores",75,313,296,17,0,6
"G0800350","1920","Colorado","080","Douglas","0350","Douglas",348,480,268,211,1,36
"G0800370","1920","Colorado","080","Eagle","0370","Eagle",497,488,362,125,1,11
"G0800390","1920","Colorado","080","Elbert","0390","Elbert",458,1186,501,669,16,24
"G0800410","1920","Colorado","080","El Paso","0410","El Paso",5593,5853,3579,2075,199,309
"G0800430","1920","Colorado","080","Fremont","0430","Fremont",2086,2361,1759,567,35,88
"G0800450","1920","Colorado","080","Garfield","0450","Garfield",1141,1253,756,492,5,28
"G0800470","1920","Colorado","080","Gilpin","0470","Gilpin",182,248,233,15,0,17
"G0800490","1920","Colorado","080","Grand","0490","Grand",403,353,249,99,5,9
"G0800510","1920","Colorado","080","Gunnison","0510","Gunnison",666,861,583,269,9,17
"G0800530","1920","Colorado","080","Hinsdale","0530","Hinsdale",66,102,92,10,0,1
"G0800550","1920","Colorado","080","Huerfano","0550","Huerfano",2017,1627,1182,266,179,118
"G0800570","1920","Colorado","080","Jackson","0570","Jackson",188,201,103,93,5,4
"G0800590","1920","Colorado","080","Jefferson","0590","Jefferson",1242,2254,1394,798,62,105
"G0800610","1920","Colorado","080","Kiowa","0610","Kiowa",245,670,374,270,26,35
"G0800630","1920","Colorado","080","Kit Carson","0630","Kit Carson",684,1413,676,707,30,68
"G0800650","1920","Colorado","080","Lake","0650","Lake",680,1164,1119,43,2,11
"G0800670","1920","Colorado","080","La Plata","0670","La Plata",1242,1538,1117,414,7,45
"G0800690","1920","Colorado","080","Larimer","0690","Larimer",2715,3978,2285,1521,172,152
"G0800710","1920","Colorado","080","Las Animas","0710","Las Animas",4970,3935,3396,500,39,236
"G0800730","1920","Colorado","080","Lincoln","0730","Lincoln",595,1450,702,734,14,28
"G0800750","1920","Colorado","080","Logan","0750","Logan",1761,2380,1051,1273,56,105
"G0800770","1920","Colorado","080","Mesa","0770","Mesa",2442,3198,1820,1348,30,30
"G0800790","1920","Colorado","080","Mineral","0790","Mineral",158,122,115,7,0,2
"G0800810","1920","Colorado","080","Moffat","0810","Moffat",342,1100,823,267,10,33
"G0800830","1920","Colorado","080","Montezuma","0830","Montezuma",530,1068,817,241,10,20
"G0800850","1920","Colorado","080","Montrose","0850","Montrose",1275,1583,883,689,11,27
"G0800870","1920","Colorado","080","Morgan","0870","Morgan",1349,2208,1109,1074,25,140
"G0800890","1920","Colorado","080","Otero","0890","Otero",2726,2610,1519,1045,46,203
"G0800910","1920","Colorado","080","Ouray","0910","Ouray",349,372,265,107,0,5
"G0800930","1920","Colorado","080","Park","0930","Park",275,373,309,62,2,13
"G0800950","1920","Colorado","080","Phillips","0950","Phillips",386,790,445,330,15,94
"G0800970","1920","Colorado","080","Pitkin","0970","Pitkin",229,507,451,56,0,22
"G0800990","1920","Colorado","080","Prowers","0990","Prowers",1600,1661,932,714,15,63
"G0801010","1920","Colorado","080","Pueblo","1010","Pueblo",6763,6808,4134,2451,223,315
"G0801030","1920","Colorado","080","Rio Blanco","1030","Rio Blanco",252,564,342,222,0,5
"G0801050","1920","Colorado","080","Rio Grande","1050","Rio Grande",866,949,578,350,21,54
"G0801070","1920","Colorado","080","Routt","1070","Routt",1188,1099,706,384,9,29
"G0801090","1920","Colorado","080","Saguache","1090","Saguache",497,622,464,125,33,33
"G0801110","1920","Colorado","080","San Juan","1110","San Juan",229,183,178,4,1,3
"G0801130","1920","Colorado","080","San Miguel","1130","San Miguel",647,593,478,109,6,16
"G0801150","1920","Colorado","080","Sedgwick","1150","Sedgwick",387,531,278,246,7,37
"G0801170","1920","Colorado","080","Summit","1170","Summit",265,265,236,26,3,6
"G0801190","1920","Colorado","080","Teller","1190","Teller",708,1310,1205,87,18,40
"G0801210","1920","Colorado","080","Washington","1210","Washington",666,1974,870,1075,29,57
"G0801230","1920","Colorado","080","Weld","1230","Weld",5713,6627,3431,3049,147,330
"G0801250","1920","Colorado","080","Yuma","1250","Yuma",959,2229,1059,1122,48,65
"G0900010","1920","Connecticut","090","Fairfield","0010","Fairfield",45225,26165,8822,16758,585,2143
"G0900030","1920","Connecticut","090","Hartford","0030","Hartford",48721,24477,7530,16705,242,604
"G0900050","1920","Connecticut","090","Litchfield","0050","Litchfield",8889,8664,4129,4272,263,444
"G0900070","1920","Connecticut","090","Middlesex","0070","Middlesex",4925,5725,3353,2337,35,54
"G0900090","1920","Connecticut","090","New Haven","0090","New Haven",58125,31962,9673,21366,923,1859
"G0900110","1920","Connecticut","090","New London","0110","New London",14183,10181,5443,4677,61,185
"G0900130","1920","Connecticut","090","Tolland","0130","Tolland",3051,3508,1992,1489,27,100
"G0900150","1920","Connecticut","090","Windham","0150","Windham",7845,4499,2846,1624,29,76
"G1000010","1920","Delaware","100","Kent","0010","Kent",3878,3904,2533,1325,46,123
"G1000030","1920","Delaware","100","New Castle","0030","New Castle",19617,12648,5208,7193,247,628
"G1000050","1920","Delaware","100","Sussex","0050","Sussex",4792,6277,4617,1154,506,203
"G1100010","1920","District Of Columbia","110","District Of Columbia","0010","District Of Columbia",65654,28503,12354,15375,774,2037
"G1200010","1920","Florida","120","Alachua","0010","Alachua",3428,3575,2874,579,122,443
"G1200030","1920","Florida","120","Baker","0030","Baker",583,423,310,43,70,183
"G1200050","1920","Florida","120","Bay","0050","Bay",1680,992,852,128,12,247
"G1200070","1920","Florida","120","Bradford","0070","Bradford",1036,1385,993,356,36,86
"G1200090","1920","Florida","120","Brevard","0090","Brevard",1013,1292,1030,229,33,59
"G1200110","1920","Florida","120","Broward","0110","Broward",843,503,231,144,128,72
"G1200130","1920","Florida","120","Calhoun","0130","Calhoun",1156,750,634,108,8,67
"G1200170","1920","Florida","120","Citrus","0170","Citrus",913,471,432,38,1,18
"G1200190","1920","Florida","120","Clay","0190","Clay",686,677,577,95,5,57
"G1200230","1920","Florida","120","Columbia","0230","Columbia",1510,1433,1126,278,29,79
"G1200250","1920","Florida","120","Dade","0250","Dade",6095,4388,2597,1695,96,531
"G1200270","1920","Florida","120","De Soto","0270","De Soto",3276,2792,2165,572,55,249
"G1200310","1920","Florida","120","Duval","0310","Duval",19652,8048,4933,2615,500,893
"G1200330","1920","Florida","120","Escambia","0330","Escambia",7109,3919,2758,1088,73,421
"G1200350","1920","Florida","120","Flagler","0350","Flagler",417,257,156,101,0,15
"G1200370","1920","Florida","120","Franklin","0370","Franklin",720,627,580,36,11,98
"G1200390","1920","Florida","120","Gadsden","0390","Gadsden",3065,1733,1543,159,31,106
"G1200470","1920","Florida","120","Hamilton","0470","Hamilton",1228,755,682,56,17,136
"G1200530","1920","Florida","120","Hernando","0530","Hernando",616,546,464,81,1,28
"G1200570","1920","Florida","120","Hillsborough","0570","Hillsborough",12525,7350,4976,2153,221,937
"G1200590","1920","Florida","120","Holmes","0590","Holmes",1112,1265,825,303,137,218
"G1200630","1920","Florida","120","Jackson","0630","Jackson",3586,2791,2075,540,176,303
"G1200650","1920","Florida","120","Jefferson","0650","Jefferson",1782,1094,801,221,72,332
"G1200670","1920","Florida","120","Lafayette","0670","Lafayette",623,655,497,88,70,99
"G1200690","1920","Florida","120","Lake","0690","Lake",1510,1807,1497,301,9,60
"G1200710","1920","Florida","120","Lee","0710","Lee",1196,1182,881,279,22,115
