GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AYV001,AZZ001,AZZ002,AZZ003,AZZ004,AZZ005,AZZ006,AZZ007,AZZ008,AZZ009,AZZ010
"G0600130","1900","California","060","Contra Costa","0130","Contra Costa",3811,546,291,8,613,2,804,146,11,1238,30
"G0600150","1900","California","060","Del Norte","0150","Del Norte",630,68,21,3,37,0,212,11,4,226,19
"G0600170","1900","California","060","El Dorado","0170","El Dorado",2634,499,92,54,86,5,599,102,214,780,113
"G0600190","1900","California","060","Fresno","0190","Fresno",8002,1269,1002,37,829,40,1197,533,78,2366,431
"G0600210","1900","California","060","Glenn","0210","Glenn",1059,205,140,2,159,3,174,42,5,249,35
"G0600230","1900","California","060","Humboldt","0230","Humboldt",6137,762,314,32,449,11,1483,409,80,2230,134
"G0600270","1900","California","060","Inyo","0270","Inyo",1233,261,68,1,52,0,382,28,16,241,113
"G0600290","1900","California","060","Kern","0290","Kern",4001,533,201,10,276,16,751,200,70,1524,143
"G0600310","1900","California","060","Kings","0310","Kings",2083,354,242,8,268,2,218,128,90,645,94
"G0600330","1900","California","060","Lake","0330","Lake",1494,394,140,6,159,5,280,36,15,389,41
"G0600350","1900","California","060","Lassen","0350","Lassen",1103,359,95,7,80,8,174,8,16,181,137
"G0600370","1900","California","060","Los Angeles","0370","Los Angeles",39382,3238,1459,94,1569,102,9309,4804,571,17709,2085
"G0600390","1900","California","060","Madera","0390","Madera",1304,270,71,9,151,13,240,50,36,321,92
"G0600410","1900","California","060","Marin","0410","Marin",2907,116,51,1,300,5,668,259,31,1208,108
"G0600430","1900","California","060","Mariposa","0430","Mariposa",1269,274,29,6,45,13,292,8,177,277,96
"G0600450","1900","California","060","Mendocino","0450","Mendocino",4693,990,254,30,254,9,756,135,158,1569,283
