GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A47001,A48001,A48002,A49001,A49002,A49003,A49004,A49005,A49006,A49007,A49008,A49009,A49010
"G0500510","1910","Arkansas","050","Garland","0510","Garland",6334,1737,4597,1167,130,4,421,15,1313,347,118,2520,299
"G0500530","1910","Arkansas","050","Grant","0530","Grant",1832,1369,463,960,153,1,254,1,149,28,16,245,25
"G0500550","1910","Arkansas","050","Greene","0550","Greene",4940,3070,1870,1084,444,8,1529,5,603,74,21,1032,140
"G0500570","1910","Arkansas","050","Hempstead","0570","Hempstead",5600,3897,1703,1411,473,37,1964,12,548,52,41,877,185
"G0500590","1910","Arkansas","050","Hot Spring","0590","Hot Spring",3074,1927,1147,1257,181,6,481,2,441,65,29,581,31
"G0500610","1910","Arkansas","050","Howard","0610","Howard",3362,2510,852,1345,175,8,979,3,272,58,25,471,26
"G0500630","1910","Arkansas","050","Independence","0630","Independence",5043,3474,1569,1484,341,57,1589,3,441,90,65,917,56
"G0500650","1910","Arkansas","050","Izard","0650","Izard",2907,2314,593,1372,117,4,813,8,260,18,21,269,25
"G0500670","1910","Arkansas","050","Jackson","0670","Jackson",4906,3086,1820,552,218,13,2292,11,393,100,20,1180,127
"G0500690","1910","Arkansas","050","Jefferson","0690","Jefferson",12563,6822,5741,747,357,59,5638,21,1509,395,134,3230,473
"G0500710","1910","Arkansas","050","Johnson","0710","Johnson",3963,2771,1192,1282,311,11,1166,1,430,56,18,663,25
"G0500730","1910","Arkansas","050","Lafayette","0730","Lafayette",2880,1577,1303,629,255,9,681,3,215,61,46,720,261
"G0500750","1910","Arkansas","050","Lawrence","0750","Lawrence",4108,2509,1599,723,243,27,1514,2,403,119,64,943,70
"G0500770","1910","Arkansas","050","Lee","0770","Lee",5399,3804,1595,576,337,29,2854,8,682,79,14,661,159
"G0500790","1910","Arkansas","050","Lincoln","0790","Lincoln",3361,2592,769,640,145,11,1796,0,89,10,95,406,169
"G0500810","1910","Arkansas","050","Little River","0810","Little River",2874,1856,1018,562,225,14,1052,3,314,72,12,565,55
"G0500830","1910","Arkansas","050","Logan","0830","Logan",5254,3942,1312,1810,417,31,1667,17,490,112,28,591,91
"G0500850","1910","Arkansas","050","Lonoke","0850","Lonoke",6032,4731,1301,1072,425,27,3155,52,375,101,50,652,123
"G0500870","1910","Arkansas","050","Madison","0870","Madison",3207,2670,537,1703,298,10,656,3,207,10,14,260,46
"G0500890","1910","Arkansas","050","Marion","0890","Marion",2019,1568,451,799,78,7,676,8,134,14,20,252,31
"G0500910","1910","Arkansas","050","Miller","0910","Miller",4228,1851,2377,788,257,6,796,4,635,241,8,1432,61
"G0500930","1910","Arkansas","050","Mississippi","0930","Mississippi",6963,3441,3522,359,217,20,2843,2,479,142,40,2045,816
"G0500950","1910","Arkansas","050","Monroe","0950","Monroe",4445,2755,1690,376,145,31,2195,8,430,104,75,984,97
"G0500970","1910","Arkansas","050","Montgomery","0970","Montgomery",2472,1999,473,1375,77,6,541,0,152,2,39,261,19
"G0500990","1910","Arkansas","050","Nevada","0990","Nevada",3764,2744,1020,1401,346,3,993,1,306,59,38,579,38
"G0501010","1910","Arkansas","050","Newton","1010","Newton",2086,1857,229,1316,78,8,454,1,95,6,11,108,9
"G0501030","1910","Arkansas","050","Ouachita","1030","Ouachita",4312,2246,2066,1130,373,11,722,10,612,40,39,1236,139
"G0501050","1910","Arkansas","050","Perry","1050","Perry",1875,1196,679,581,72,4,537,2,226,11,9,401,32
"G0501070","1910","Arkansas","050","Phillips","1070","Phillips",8087,4595,3492,539,228,34,3764,30,511,136,102,2405,338
"G0501090","1910","Arkansas","050","Pike","1090","Pike",2567,1663,904,1026,107,1,528,1,246,17,40,577,24
"G0501110","1910","Arkansas","050","Poinsett","1110","Poinsett",2743,1505,1238,407,97,13,985,3,239,30,25,875,69
"G0501130","1910","Arkansas","050","Polk","1130","Polk",3704,2252,1452,1544,167,13,522,6,553,62,39,721,77
"G0501150","1910","Arkansas","050","Pope","1150","Pope",4909,3475,1434,1489,420,7,1557,2,502,106,11,740,75
"G0501170","1910","Arkansas","050","Prairie","1170","Prairie",2932,1915,1017,610,289,8,1007,1,368,94,18,489,48
"G0501190","1910","Arkansas","050","Pulaski","1190","Pulaski",19396,4713,14683,1371,331,23,2969,19,3136,1975,91,9073,408
"G0501210","1910","Arkansas","050","Randolph","1210","Randolph",3926,2977,949,1295,312,6,1360,4,300,41,9,529,70
"G0501230","1910","Arkansas","050","St Francis","1230","St Francis",4964,3743,1221,570,259,26,2877,11,346,80,13,654,128
"G0501250","1910","Arkansas","050","Saline","1250","Saline",3505,2300,1205,1308,225,5,757,5,329,106,17,675,78
"G0501270","1910","Arkansas","050","Scott","1270","Scott",2911,2294,617,1259,201,17,816,1,235,34,15,303,30
"G0501290","1910","Arkansas","050","Searcy","1290","Searcy",2970,1996,974,1385,82,6,519,4,290,51,12,553,68
"G0501310","1910","Arkansas","050","Sebastian","1310","Sebastian",11173,2999,8174,1247,274,23,1449,6,2287,860,91,4625,311
"G0501330","1910","Arkansas","050","Sevier","1330","Sevier",3271,2078,1193,1078,211,12,772,5,312,113,41,670,57
"G0501350","1910","Arkansas","050","Sharp","1350","Sharp",2342,1996,346,1213,135,3,640,5,146,8,27,148,17
"G0501370","1910","Arkansas","050","Stone","1370","Stone",1738,1477,261,973,66,3,432,3,90,7,11,143,10
"G0501390","1910","Arkansas","050","Union","1390","Union",5962,3301,2661,1543,681,6,1060,11,506,172,34,1840,109
"G0501410","1910","Arkansas","050","Van Buren","1410","Van Buren",2610,2209,401,1520,167,0,519,3,144,7,11,218,21
"G0501430","1910","Arkansas","050","Washington","1430","Washington",7365,4645,2720,2647,855,9,1128,6,1012,209,63,1359,77
