GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BXR001,BXS001,BXV001,BXV002,BXW001,BX8001
"G0800530","1940","Colorado","080","Hinsdale","0530","Hinsdale",323,124,83,41,66.9,323
"G0800550","1940","Colorado","080","Huerfano","0550","Huerfano",4336,4066,1958,2108,48.2,4336
"G0800570","1940","Colorado","080","Jackson","0570","Jackson",789,525,276,249,52.6,789
"G0800590","1940","Colorado","080","Jefferson","0590","Jefferson",11799,8763,5264,3499,60.1,11799
"G0800610","1940","Colorado","080","Kiowa","0610","Kiowa",1022,819,434,385,53.0,1022
"G0800630","1940","Colorado","080","Kit Carson","0630","Kit Carson",2279,1999,873,1126,43.7,2279
"G0800650","1940","Colorado","080","Lake","0650","Lake",2391,2001,1124,877,56.2,2391
"G0800670","1940","Colorado","080","La Plata","0670","La Plata",4692,4112,2198,1914,53.5,4692
"G0800690","1940","Colorado","080","Larimer","0690","Larimer",14281,10324,5034,5290,48.8,14281
"G0800710","1940","Colorado","080","Las Animas","0710","Las Animas",9184,8220,3736,4484,45.5,9184
"G0800730","1940","Colorado","080","Lincoln","0730","Lincoln",1862,1656,793,863,47.9,1862
"G0800750","1940","Colorado","080","Logan","0750","Logan",5132,4663,1949,2714,41.8,5132
"G0800770","1940","Colorado","080","Mesa","0770","Mesa",9828,9156,5290,3866,57.8,9828
"G0800790","1940","Colorado","080","Mineral","0790","Mineral",601,294,123,171,41.8,601
"G0800810","1940","Colorado","080","Moffat","0810","Moffat",1799,1556,828,728,53.2,1799
"G0800830","1940","Colorado","080","Montezuma","0830","Montezuma",2919,2679,1474,1205,55.0,2919
"G0800850","1940","Colorado","080","Montrose","0850","Montrose",4463,4080,2158,1922,52.9,4463
"G0800870","1940","Colorado","080","Morgan","0870","Morgan",4830,4470,1871,2599,41.9,4830
"G0800890","1940","Colorado","080","Otero","0890","Otero",6807,6446,2872,3574,44.6,6807
"G0800910","1940","Colorado","080","Ouray","0910","Ouray",692,625,335,290,53.6,692
"G0800930","1940","Colorado","080","Park","0930","Park",1862,1059,515,544,48.6,1862
"G0800950","1940","Colorado","080","Phillips","0950","Phillips",1508,1395,600,795,43.0,1508
"G0800970","1940","Colorado","080","Pitkin","0970","Pitkin",799,569,409,160,71.9,799
"G0800990","1940","Colorado","080","Prowers","0990","Prowers",3752,3299,1277,2022,38.7,3752
"G0801010","1940","Colorado","080","Pueblo","1010","Pueblo",19331,18232,9639,8593,52.9,19331
"G0801030","1940","Colorado","080","Rio Blanco","1030","Rio Blanco",1023,851,471,380,55.3,1023
"G0801050","1940","Colorado","080","Rio Grande","1050","Rio Grande",3507,3135,1401,1734,44.7,3507
"G0801070","1940","Colorado","080","Routt","1070","Routt",3497,3028,1310,1718,43.3,3497
"G0801090","1940","Colorado","080","Saguache","1090","Saguache",1826,1556,767,789,49.3,1826
"G0801110","1940","Colorado","080","San Juan","1110","San Juan",521,393,187,206,47.6,521
"G0801130","1940","Colorado","080","San Miguel","1130","San Miguel",1175,1028,543,485,52.8,1175
"G0801150","1940","Colorado","080","Sedgwick","1150","Sedgwick",1525,1385,496,889,35.8,1525
"G0801170","1940","Colorado","080","Summit","1170","Summit",975,666,267,399,40.1,975
"G0801190","1940","Colorado","080","Teller","1190","Teller",2601,2009,1147,862,57.1,2601
"G0801210","1940","Colorado","080","Washington","1210","Washington",2424,2200,1041,1159,47.3,2424
"G0801230","1940","Colorado","080","Weld","1230","Weld",18476,16865,6705,10160,39.8,18476
"G0801250","1940","Colorado","080","Yuma","1250","Yuma",3557,3257,1619,1638,49.7,3557
"G0900010","1940","Connecticut","090","Fairfield","0010","Fairfield",119117,110235,44961,65274,40.8,119117
"G0900030","1940","Connecticut","090","Hartford","0030","Hartford",119302,116448,41081,75367,35.3,119302
"G0900050","1940","Connecticut","090","Litchfield","0050","Litchfield",27829,23304,12367,10937,53.1,27829
"G0900070","1940","Connecticut","090","Middlesex","0070","Middlesex",17908,14084,7730,6354,54.9,17908
"G0900090","1940","Connecticut","090","New Haven","0090","New Haven",138934,128057,49053,79004,38.3,138934
"G0900110","1940","Connecticut","090","New London","0110","New London",38319,32834,14976,17858,45.6,38319
"G0900130","1940","Connecticut","090","Tolland","0130","Tolland",10398,8491,4831,3660,56.9,10398
"G0900150","1940","Connecticut","090","Windham","0150","Windham",16736,15229,6630,8599,43.5,16736
"G1000010","1940","Delaware","100","Kent","0010","Kent",10362,9672,4849,4823,50.1,10362
"G1000030","1940","Delaware","100","New Castle","0030","New Castle",47588,45948,20463,25485,44.5,47588
"G1000050","1940","Delaware","100","Sussex","0050","Sussex",17617,14921,7901,7020,53.0,17617
"G1100010","1940","District Of Columbia","110","District Of Columbia","0010","District Of Columbia",185128,173445,51944,121501,29.9,185128
"G1200010","1940","Florida","120","Alachua","0010","Alachua",10562,9892,4569,5323,46.2,10562
"G1200030","1940","Florida","120","Baker","0030","Baker",1551,1506,531,975,35.3,1551
"G1200050","1940","Florida","120","Bay","0050","Bay",6303,5477,2761,2716,50.4,6303
"G1200070","1940","Florida","120","Bradford","0070","Bradford",2245,2102,1022,1080,48.6,2245
"G1200090","1940","Florida","120","Brevard","0090","Brevard",5865,4918,2460,2458,50.0,5865
"G1200110","1940","Florida","120","Broward","0110","Broward",15944,11660,5062,6598,43.4,15944
"G1200130","1940","Florida","120","Calhoun","0130","Calhoun",2092,1968,943,1025,47.9,2092
"G1200150","1940","Florida","120","Charlotte","0150","Charlotte",1412,1126,568,558,50.4,1412
"G1200170","1940","Florida","120","Citrus","0170","Citrus",1912,1698,793,905,46.7,1912
"G1200190","1940","Florida","120","Clay","0190","Clay",1971,1782,876,906,49.2,1971
"G1200210","1940","Florida","120","Collier","0210","Collier",1991,1699,309,1390,18.2,1991
"G1200230","1940","Florida","120","Columbia","0230","Columbia",4667,4190,1678,2512,40.0,4667
"G1200250","1940","Florida","120","Dade","0250","Dade",90472,75934,31414,44520,41.4,90472
"G1200270","1940","Florida","120","De Soto","0270","De Soto",2394,2188,1049,1139,47.9,2394
"G1200290","1940","Florida","120","Dixie","0290","Dixie",1965,1881,445,1436,23.7,1965
"G1200310","1940","Florida","120","Duval","0310","Duval",57816,55165,19675,35490,35.7,57816
"G1200330","1940","Florida","120","Escambia","0330","Escambia",18567,18105,8447,9658,46.7,18567
"G1200350","1940","Florida","120","Flagler","0350","Flagler",956,943,305,638,32.3,956
"G1200370","1940","Florida","120","Franklin","0370","Franklin",1970,1605,771,834,48.0,1970
"G1200390","1940","Florida","120","Gadsden","0390","Gadsden",6918,6518,2532,3986,38.8,6918
"G1200410","1940","Florida","120","Gilchrist","0410","Gilchrist",1087,1037,550,487,53.0,1087
"G1200430","1940","Florida","120","Glades","0430","Glades",905,827,326,501,39.4,905
"G1200450","1940","Florida","120","Gulf","0450","Gulf",2051,1785,586,1199,32.8,2051
"G1200470","1940","Florida","120","Hamilton","0470","Hamilton",2594,2413,893,1520,37.0,2594
"G1200490","1940","Florida","120","Hardee","0490","Hardee",2807,2700,1490,1210,55.2,2807
"G1200510","1940","Florida","120","Hendry","0510","Hendry",1864,1714,491,1223,28.6,1864
"G1200530","1940","Florida","120","Hernando","0530","Hernando",1762,1592,788,804,49.5,1762
"G1200550","1940","Florida","120","Highlands","0550","Highlands",2687,2499,1092,1407,43.7,2687
"G1200570","1940","Florida","120","Hillsborough","0570","Hillsborough",53050,49860,21331,28529,42.8,53050
"G1200590","1940","Florida","120","Holmes","0590","Holmes",3575,3450,1601,1849,46.4,3575
"G1200610","1940","Florida","120","Indian River","0610","Indian River",2944,2563,1191,1372,46.5,2944
"G1200630","1940","Florida","120","Jackson","0630","Jackson",8693,8181,3609,4572,44.1,8693
"G1200650","1940","Florida","120","Jefferson","0650","Jefferson",3067,2950,1260,1690,42.7,3067
"G1200670","1940","Florida","120","Lafayette","0670","Lafayette",1162,1037,539,498,52.0,1162
"G1200690","1940","Florida","120","Lake","0690","Lake",8994,8003,3933,4070,49.1,8994
"G1200710","1940","Florida","120","Lee","0710","Lee",5787,4994,2130,2864,42.7,5787
"G1200730","1940","Florida","120","Leon","0730","Leon",8826,8380,3131,5249,37.4,8826
"G1200750","1940","Florida","120","Levy","0750","Levy",3569,3351,1321,2030,39.4,3569
"G1200770","1940","Florida","120","Liberty","0770","Liberty",954,946,450,496,47.6,954
"G1200790","1940","Florida","120","Madison","0790","Madison",4356,3960,1411,2549,35.6,4356
"G1200810","1940","Florida","120","Manatee","0810","Manatee",8921,7448,3390,4058,45.5,8921
"G1200830","1940","Florida","120","Marion","0830","Marion",9051,8429,4541,3888,53.9,9051
"G1200850","1940","Florida","120","Martin","0850","Martin",2511,1979,823,1156,41.6,2511
"G1200870","1940","Florida","120","Monroe","0870","Monroe",4486,3975,1560,2415,39.2,4486
"G1200890","1940","Florida","120","Nassau","0890","Nassau",2747,2668,1343,1325,50.3,2747
"G1200910","1940","Florida","120","Okaloosa","0910","Okaloosa",3628,3057,1559,1498,51.0,3628
"G1200930","1940","Florida","120","Okeechobee","0930","Okeechobee",905,824,443,381,53.8,905
"G1200950","1940","Florida","120","Orange","0950","Orange",23298,20413,9818,10595,48.1,23298
"G1200970","1940","Florida","120","Osceola","0970","Osceola",3771,3202,1750,1452,54.7,3771
"G1200990","1940","Florida","120","Palm Beach","0990","Palm Beach",28360,23880,8945,14935,37.5,28360
"G1201010","1940","Florida","120","Pasco","1010","Pasco",4873,4255,2339,1916,55.0,4873
"G1201030","1940","Florida","120","Pinellas","1030","Pinellas",40525,28970,14418,14552,49.8,40525
"G1201050","1940","Florida","120","Polk","1050","Polk",25954,23971,10240,13731,42.7,25954
"G1201070","1940","Florida","120","Putnam","1070","Putnam",5917,5366,2807,2559,52.3,5917
"G1201090","1940","Florida","120","St Johns","1090","St Johns",6264,5628,2511,3117,44.6,6264
"G1201110","1940","Florida","120","St Lucie","1110","St Lucie",3609,3316,1296,2020,39.1,3609
"G1201130","1940","Florida","120","Santa Rosa","1130","Santa Rosa",4000,3808,1947,1861,51.1,4000
"G1201150","1940","Florida","120","Sarasota","1150","Sarasota",6097,4658,2217,2441,47.6,6097
"G1201170","1940","Florida","120","Seminole","1170","Seminole",6771,6239,2895,3344,46.4,6771
"G1201190","1940","Florida","120","Sumter","1190","Sumter",3034,2953,1521,1432,51.5,3034
"G1201210","1940","Florida","120","Suwannee","1210","Suwannee",4426,4113,2094,2019,50.9,4426
"G1201230","1940","Florida","120","Taylor","1230","Taylor",3447,3138,1043,2095,33.2,3447
"G1201250","1940","Florida","120","Union","1250","Union",1397,1254,468,786,37.3,1397
"G1201270","1940","Florida","120","Volusia","1270","Volusia",19993,16129,8150,7979,50.5,19993
"G1201290","1940","Florida","120","Wakulla","1290","Wakulla",1444,1341,801,540,59.7,1444
"G1201310","1940","Florida","120","Walton","1310","Walton",3562,3350,1873,1477,55.9,3562
"G1201330","1940","Florida","120","Washington","1330","Washington",3153,2924,1530,1394,52.3,3153
"G1300010","1940","Georgia","130","Appling","0010","Appling",3158,3032,1160,1872,38.3,3158
"G1300030","1940","Georgia","130","Atkinson","0030","Atkinson",1659,1585,529,1056,33.4,1659
"G1300050","1940","Georgia","130","Bacon","0050","Bacon",1829,1789,777,1012,43.4,1829
"G1300070","1940","Georgia","130","Baker","0070","Baker",1796,1667,330,1337,19.8,1796
"G1300090","1940","Georgia","130","Baldwin","0090","Baldwin",4251,4006,1192,2814,29.8,4251
"G1300110","1940","Georgia","130","Banks","0110","Banks",2162,1926,626,1300,32.5,2162
"G1300130","1940","Georgia","130","Barrow","0130","Barrow",3355,3290,1030,2260,31.3,3355
"G1300150","1940","Georgia","130","Bartow","0150","Bartow",6105,5828,1763,4065,30.3,6105
"G1300170","1940","Georgia","130","Ben Hill","0170","Ben Hill",3720,3569,1332,2237,37.3,3720
"G1300190","1940","Georgia","130","Berrien","0190","Berrien",3683,3493,1126,2367,32.2,3683
"G1300210","1940","Georgia","130","Bibb","0210","Bibb",23848,23159,5685,17474,24.5,23848
"G1300230","1940","Georgia","130","Bleckley","0230","Bleckley",2512,2322,580,1742,25.0,2512
"G1300250","1940","Georgia","130","Brantley","0250","Brantley",1562,1457,643,814,44.1,1562
"G1300270","1940","Georgia","130","Brooks","0270","Brooks",5023,4668,1466,3202,31.4,5023
"G1300290","1940","Georgia","130","Bryan","0290","Bryan",1494,1439,552,887,38.4,1494
"G1300310","1940","Georgia","130","Bulloch","0310","Bulloch",6332,5943,1838,4105,30.9,6332
"G1300330","1940","Georgia","130","Burke","0330","Burke",7675,6873,1106,5767,16.1,7675
"G1300350","1940","Georgia","130","Butts","0350","Butts",2537,2278,652,1626,28.6,2537
"G1300370","1940","Georgia","130","Calhoun","0370","Calhoun",2903,2609,475,2134,18.2,2903
"G1300390","1940","Georgia","130","Camden","0390","Camden",1690,1438,819,619,57.0,1690
"G1300430","1940","Georgia","130","Candler","0430","Candler",2215,2079,575,1504,27.7,2215
"G1300450","1940","Georgia","130","Carroll","0450","Carroll",8754,8356,2927,5429,35.0,8754
"G1300470","1940","Georgia","130","Catoosa","0470","Catoosa",2683,2585,1498,1087,57.9,2683
"G1300490","1940","Georgia","130","Charlton","0490","Charlton",1290,1224,419,805,34.2,1290
"G1300510","1940","Georgia","130","Chatham","0510","Chatham",33281,31718,7523,24195,23.7,33281
"G1300530","1940","Georgia","130","Chattahoochee","0530","Chattahoochee",590,527,145,382,27.5,590
"G1300550","1940","Georgia","130","Chattooga","0550","Chattooga",4416,4207,1249,2958,29.7,4416
"G1300570","1940","Georgia","130","Cherokee","0570","Cherokee",4932,4691,1695,2996,36.1,4932
"G1300590","1940","Georgia","130","Clarke","0590","Clarke",7616,7401,2467,4934,33.3,7616
"G1300610","1940","Georgia","130","Clay","0610","Clay",1874,1696,409,1287,24.1,1874
"G1300630","1940","Georgia","130","Clayton","0630","Clayton",3010,2795,1187,1608,42.5,3010
"G1300650","1940","Georgia","130","Clinch","0650","Clinch",1776,1580,409,1171,25.9,1776
"G1300670","1940","Georgia","130","Cobb","0670","Cobb",9737,9335,3918,5417,42.0,9737
"G1300690","1940","Georgia","130","Coffee","0690","Coffee",5069,4824,1658,3166,34.4,5069
"G1300710","1940","Georgia","130","Colquitt","0710","Colquitt",7831,7467,2250,5217,30.1,7831
"G1300730","1940","Georgia","130","Columbia","0730","Columbia",2420,2169,548,1621,25.3,2420
"G1300750","1940","Georgia","130","Cook","0750","Cook",2831,2772,1002,1770,36.1,2831
"G1300770","1940","Georgia","130","Coweta","0770","Coweta",7178,6604,1748,4856,26.5,7178
"G1300790","1940","Georgia","130","Crawford","0790","Crawford",1693,1555,489,1066,31.4,1693
"G1300810","1940","Georgia","130","Crisp","0810","Crisp",4700,4422,1257,3165,28.4,4700
"G1300830","1940","Georgia","130","Dade","0830","Dade",1287,1222,682,540,55.8,1287
"G1300850","1940","Georgia","130","Dawson","0850","Dawson",982,961,414,547,43.1,982
"G1300870","1940","Georgia","130","Decatur","0870","Decatur",5627,5302,1911,3391,36.0,5627
"G1300890","1940","Georgia","130","DeKalb","0890","De Kalb",23680,22648,11137,11511,49.2,23680
"G1300910","1940","Georgia","130","Dodge","0910","Dodge",5090,4773,1465,3308,30.7,5090
"G1300930","1940","Georgia","130","Dooly","0930","Dooly",4378,3951,916,3035,23.2,4378
"G1300950","1940","Georgia","130","Dougherty","0950","Dougherty",7716,7421,1481,5940,20.0,7716
"G1300970","1940","Georgia","130","Douglas","0970","Douglas",2478,2320,892,1428,38.4,2478
"G1300990","1940","Georgia","130","Early","0990","Early",4581,4382,1045,3337,23.8,4581
"G1301010","1940","Georgia","130","Echols","1010","Echols",859,768,226,542,29.4,859
"G1301030","1940","Georgia","130","Effingham","1030","Effingham",2468,2296,1015,1281,44.2,2468
"G1301050","1940","Georgia","130","Elbert","1050","Elbert",4887,4706,1423,3283,30.2,4887
"G1301070","1940","Georgia","130","Emanuel","1070","Emanuel",5958,5498,1374,4124,25.0,5958
"G1301090","1940","Georgia","130","Evans","1090","Evans",1883,1749,584,1165,33.4,1883
"G1301110","1940","Georgia","130","Fannin","1110","Fannin",3211,3106,1899,1207,61.1,3211
"G1301130","1940","Georgia","130","Fayette","1130","Fayette",2167,1846,570,1276,30.9,2167
"G1301150","1940","Georgia","130","Floyd","1150","Floyd",14080,13811,3886,9925,28.1,14080
"G1301170","1940","Georgia","130","Forsyth","1170","Forsyth",2709,2586,966,1620,37.4,2709
"G1301190","1940","Georgia","130","Franklin","1190","Franklin",3682,3484,1195,2289,34.3,3682
"G1301210","1940","Georgia","130","Fulton","1210","Fulton",107210,103465,30433,73032,29.4,107210
"G1301230","1940","Georgia","130","Gilmer","1230","Gilmer",2094,1951,977,974,50.1,2094
"G1301250","1940","Georgia","130","Glascock","1250","Glascock",1035,1000,303,697,30.3,1035
"G1301270","1940","Georgia","130","Glynn","1270","Glynn",6194,5677,2066,3611,36.4,6194
"G1301290","1940","Georgia","130","Gordon","1290","Gordon",4428,4312,1645,2667,38.1,4428
"G1301310","1940","Georgia","130","Grady","1310","Grady",4700,4520,1692,2828,37.4,4700
"G1301330","1940","Georgia","130","Greene","1330","Greene",3565,3254,876,2378,26.9,3565
"G1301350","1940","Georgia","130","Gwinnett","1350","Gwinnett",7173,6822,2623,4199,38.4,7173
"G1301370","1940","Georgia","130","Habersham","1370","Habersham",3532,3380,1457,1923,43.1,3532
"G1301390","1940","Georgia","130","Hall","1390","Hall",8386,8109,2909,5200,35.9,8386
"G1301410","1940","Georgia","130","Hancock","1410","Hancock",3282,2745,676,2069,24.6,3282
"G1301430","1940","Georgia","130","Haralson","1430","Haralson",3668,3459,1469,1990,42.5,3668
"G1301450","1940","Georgia","130","Harris","1450","Harris",2816,2621,871,1750,33.2,2816
"G1301470","1940","Georgia","130","Hart","1470","Hart",3641,3487,999,2488,28.6,3641
"G1301490","1940","Georgia","130","Heard","1490","Heard",2173,1903,638,1265,33.5,2173
"G1301510","1940","Georgia","130","Henry","1510","Henry",3843,3493,1046,2447,29.9,3843
"G1301530","1940","Georgia","130","Houston","1530","Houston",2974,2657,634,2023,23.9,2974
"G1301550","1940","Georgia","130","Irwin","1550","Irwin",2895,2775,801,1974,28.9,2895
"G1301570","1940","Georgia","130","Jackson","1570","Jackson",4873,4640,1382,3258,29.8,4873
"G1301590","1940","Georgia","130","Jasper","1590","Jasper",2504,2146,617,1529,28.8,2504
"G1301610","1940","Georgia","130","Jeff Davis","1610","Jeff Davis",1986,1901,679,1222,35.7,1986
"G1301630","1940","Georgia","130","Jefferson","1630","Jefferson",5281,4637,1233,3404,26.6,5281
"G1301650","1940","Georgia","130","Jenkins","1650","Jenkins",3434,2893,889,2004,30.7,3434
"G1301670","1940","Georgia","130","Johnson","1670","Johnson",3127,3033,737,2296,24.3,3127
"G1301690","1940","Georgia","130","Jones","1690","Jones",2096,1943,574,1369,29.5,2096
"G1301710","1940","Georgia","130","Lamar","1710","Lamar",2677,2481,799,1682,32.2,2677
"G1301730","1940","Georgia","130","Lanier","1730","Lanier",1238,1220,430,790,35.2,1238
"G1301750","1940","Georgia","130","Laurens","1750","Laurens",8352,7821,2090,5731,26.7,8352
"G1301770","1940","Georgia","130","Lee","1770","Lee",2295,2010,307,1703,15.3,2295
"G1301790","1940","Georgia","130","Liberty","1790","Liberty",2106,2018,1323,695,65.6,2106
"G1301810","1940","Georgia","130","Lincoln","1810","Lincoln",1748,1503,518,985,34.5,1748
"G1301830","1940","Georgia","130","Long","1830","Long",1006,932,420,512,45.1,1006
"G1301850","1940","Georgia","130","Lowndes","1850","Lowndes",7882,7620,2406,5214,31.6,7882
"G1301870","1940","Georgia","130","Lumpkin","1870","Lumpkin",1479,1403,703,700,50.1,1479
"G1301890","1940","Georgia","130","McDuffie","1890","Mcduffie",2727,2605,585,2020,22.5,2727
"G1301910","1940","Georgia","130","McIntosh","1910","Mcintosh",1588,1375,840,535,61.1,1588
"G1301930","1940","Georgia","130","Macon","1930","Macon",4209,3845,1045,2800,27.2,4209
"G1301950","1940","Georgia","130","Madison","1950","Madison",3293,3082,924,2158,30.0,3293
"G1301970","1940","Georgia","130","Marion","1970","Marion",1746,1597,523,1074,32.7,1746
"G1301990","1940","Georgia","130","Meriwether","1990","Meriwether",5545,5119,1390,3729,27.2,5545
"G1302010","1940","Georgia","130","Miller","2010","Miller",2244,2182,562,1620,25.8,2244
"G1302050","1940","Georgia","130","Mitchell","2050","Mitchell",5699,5282,1322,3960,25.0,5699
"G1302070","1940","Georgia","130","Monroe","2070","Monroe",2874,2503,769,1734,30.7,2874
"G1302090","1940","Georgia","130","Montgomery","2090","Montgomery",2168,2061,622,1439,30.2,2168
"G1302110","1940","Georgia","130","Morgan","2110","Morgan",3432,3092,751,2341,24.3,3432
"G1302130","1940","Georgia","130","Murray","2130","Murray",2416,2362,987,1375,41.8,2416
"G1302150","1940","Georgia","130","Muscogee","2150","Muscogee",19906,19503,4173,15330,21.4,19906
"G1302170","1940","Georgia","130","Newton","2170","Newton",4819,4486,1119,3367,24.9,4819
"G1302190","1940","Georgia","130","Oconee","2190","Oconee",1893,1771,557,1214,31.5,1893
"G1302210","1940","Georgia","130","Oglethorpe","2210","Oglethorpe",2951,2741,718,2023,26.2,2951
"G1302230","1940","Georgia","130","Paulding","2230","Paulding",2910,2788,1138,1650,40.8,2910
"G1302250","1940","Georgia","130","Peach","2250","Peach",2753,2572,680,1892,26.4,2753
"G1302270","1940","Georgia","130","Pickens","2270","Pickens",2262,2074,725,1349,35.0,2262
"G1302290","1940","Georgia","130","Pierce","2290","Pierce",2677,2587,1004,1583,38.8,2677
"G1302310","1940","Georgia","130","Pike","2310","Pike",2615,2319,619,1700,26.7,2615
"G1302330","1940","Georgia","130","Polk","2330","Polk",6517,6428,1848,4580,28.7,6517
"G1302350","1940","Georgia","130","Pulaski","2350","Pulaski",2703,2492,579,1913,23.2,2703
"G1302370","1940","Georgia","130","Putnam","2370","Putnam",2421,1957,431,1526,22.0,2421
"G1302390","1940","Georgia","130","Quitman","2390","Quitman",883,743,139,604,18.7,883
"G1302410","1940","Georgia","130","Rabun","2410","Rabun",2194,1712,926,786,54.1,2194
"G1302430","1940","Georgia","130","Randolph","2430","Randolph",4345,3968,1327,2641,33.4,4345
"G1302450","1940","Georgia","130","Richmond","2450","Richmond",22247,21201,5384,15817,25.4,22247
"G1302470","1940","Georgia","130","Rockdale","2470","Rockdale",1948,1824,574,1250,31.5,1948
"G1302490","1940","Georgia","130","Schley","2490","Schley",1238,1127,335,792,29.7,1238
"G1302510","1940","Georgia","130","Screven","2510","Screven",5214,4636,1169,3467,25.2,5214
"G1302530","1940","Georgia","130","Seminole","2530","Seminole",1983,1906,690,1216,36.2,1983
"G1302550","1940","Georgia","130","Spalding","2550","Spalding",7388,7106,1666,5440,23.4,7388
"G1302570","1940","Georgia","130","Stephens","2570","Stephens",3030,2972,1168,1804,39.3,3030
"G1302590","1940","Georgia","130","Stewart","2590","Stewart",2698,2398,572,1826,23.9,2698
