GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B21AA1990,B21AB1990,B21AC1990,B21AD1990,B21AE1990,B21AF1990,B21AG1990,B21AH1990,B21AI1990,B21AJ1990
"G0100010","1990","Alabama","01","010","Autauga County","001","0010","Autauga County",13420,3143,29,61,,13724,3702,42,101,
"G0100030","1990","Alabama","01","010","Baldwin County","003","0030","Baldwin County",41355,5902,290,194,,43210,6738,340,251,
"G0100050","1990","Alabama","01","010","Barbour County","005","0050","Barbour County",6901,5136,22,26,,7217,6058,24,33,
"G0100070","1990","Alabama","01","010","Bibb County","007","0070","Bibb County",6451,1630,15,11,,6601,1848,10,10,
"G0100090","1990","Alabama","01","010","Blount County","009","0090","Blount County",18731,243,58,127,,19666,278,75,70,
"G0100110","1990","Alabama","01","010","Bullock County","011","0110","Bullock County",1628,3694,6,7,,1408,4292,2,5,
"G0100130","1990","Alabama","01","010","Butler County","013","0130","Butler County",6172,4043,15,9,,6877,4755,9,12,
"G0100150","1990","Alabama","01","010","Calhoun County","015","0150","Calhoun County",45277,10070,160,551,,47596,11508,136,736,
"G0100170","1990","Alabama","01","010","Chambers County","017","0170","Chambers County",11238,6103,25,19,,12337,7118,16,20,
"G0100190","1990","Alabama","01","010","Cherokee County","019","0190","Cherokee County",8926,636,22,23,,9228,655,29,24,
"G0100210","1990","Alabama","01","010","Chilton County","021","0210","Chilton County",13928,1771,35,33,,14719,1903,28,41,
"G0100230","1990","Alabama","01","010","Choctaw County","023","0230","Choctaw County",4314,3267,5,7,,4599,3810,5,11,
"G0100250","1990","Alabama","01","010","Clarke County","025","0250","Clarke County",7474,5500,15,23,,8053,6125,30,20,
"G0100270","1990","Alabama","01","010","Clay County","027","0270","Clay County",5313,1030,12,8,,5731,1136,11,11,
"G0100290","1990","Alabama","01","010","Cleburne County","029","0290","Cleburne County",5952,270,11,20,,6132,317,9,19,
"G0100310","1990","Alabama","01","010","Coffee County","031","0310","Coffee County",16135,3269,79,179,,16567,3648,84,279,
"G0100330","1990","Alabama","01","010","Colbert County","033","0330","Colbert County",20796,3861,73,71,,22024,4707,64,70,
"G0100350","1990","Alabama","01","010","Conecuh County","035","0350","Conecuh County",3917,2691,22,9,,4146,3234,21,14,
"G0100370","1990","Alabama","01","010","Coosa County","037","0370","Coosa County",3557,1854,17,3,,3685,1928,17,2,
"G0100390","1990","Alabama","01","010","Covington County","039","0390","Covington County",15050,2116,42,37,,16501,2661,30,41,
"G0100410","1990","Alabama","01","010","Crenshaw County","041","0410","Crenshaw County",4834,1611,16,7,,5214,1933,11,9,
"G0100430","1990","Alabama","01","010","Cullman County","043","0430","Cullman County",32401,290,75,85,,34343,270,59,90,
"G0100450","1990","Alabama","01","010","Dale County","045","0450","Dale County",20214,4238,131,474,,19151,4609,108,708,
"G0100470","1990","Alabama","01","010","Dallas County","047","0470","Dallas County",9510,12336,19,72,,10611,15489,22,71,
"G0100490","1990","Alabama","01","010","DeKalb County","049","0490","DeKalb County",25582,483,222,90,,27398,545,259,72,
"G0100510","1990","Alabama","01","010","Elmore County","051","0510","Elmore County",18975,5774,83,67,,18875,5265,54,117,
"G0100530","1990","Alabama","01","010","Escambia County","053","0530","Escambia County",11896,4982,552,47,,12430,5064,495,52,
"G0100550","1990","Alabama","01","010","Etowah County","055","0550","Etowah County",40575,6308,130,248,,44699,7491,120,269,
"G0100570","1990","Alabama","01","010","Fayette County","057","0570","Fayette County",7537,996,5,30,,8180,1194,4,16,
"G0100590","1990","Alabama","01","010","Franklin County","059","0590","Franklin County",12662,583,25,24,,13801,666,32,21,
"G0100610","1990","Alabama","01","010","Geneva County","061","0610","Geneva County",10028,1294,45,21,,10654,1530,48,27,
"G0100630","1990","Alabama","01","010","Greene County","063","0630","Greene County",978,3678,3,1,,988,4503,0,2,
"G0100650","1990","Alabama","01","010","Hale County","065","0650","Hale County",3018,4202,13,2,,3237,5012,7,7,
"G0100670","1990","Alabama","01","010","Henry County","067","0670","Henry County",4746,2493,14,18,,5172,2902,17,12,
"G0100690","1990","Alabama","01","010","Houston County","069","0690","Houston County",29611,8599,149,273,,31902,10355,138,304,
"G0100710","1990","Alabama","01","010","Jackson County","071","0710","Jackson County",21630,904,491,46,,23066,1064,529,66,
"G0100730","1990","Alabama","01","010","Jefferson County","073","0730","Jefferson County",198432,103504,421,1902,,219885,125017,468,1896,
"G0100750","1990","Alabama","01","010","Lamar County","075","0750","Lamar County",6617,868,13,11,,7188,994,11,13,
"G0100770","1990","Alabama","01","010","Lauderdale County","077","0770","Lauderdale County",34321,3470,82,102,,37239,4225,83,139,
"G0100790","1990","Alabama","01","010","Lawrence County","079","0790","Lawrence County",12211,2253,1025,13,,12352,2545,1099,15,
"G0100810","1990","Alabama","01","010","Lee County","081","0810","Lee County",32778,9402,76,959,,32111,11005,56,759,
"G0100830","1990","Alabama","01","010","Limestone County","083","0830","Limestone County",23096,3785,84,112,,23562,3342,64,90,
"G0100850","1990","Alabama","01","010","Lowndes County","085","0850","Lowndes County",1519,4339,6,1,,1666,5117,4,6,
"G0100870","1990","Alabama","01","010","Macon County","087","0870","Macon County",1723,9748,10,66,,1720,11592,14,55,
"G0100890","1990","Alabama","01","010","Madison County","089","0890","Madison County",91660,22866,785,2413,,92537,25250,816,2585,
"G0100910","1990","Alabama","01","010","Marengo County","091","0910","Marengo County",5485,5392,6,4,,5829,6353,5,10,
"G0100930","1990","Alabama","01","010","Marion County","093","0930","Marion County",14013,521,30,23,,14746,446,27,24,
"G0100950","1990","Alabama","01","010","Marshall County","095","0950","Marshall County",33214,517,116,58,,36147,570,115,95,
"G0100970","1990","Alabama","01","010","Mobile County","097","0970","Mobile County",123154,53475,921,2027,,131699,64397,1019,1951,
"G0100990","1990","Alabama","01","010","Monroe County","099","0990","Monroe County",6995,4438,120,24,,7325,4934,95,37,
"G0101010","1990","Alabama","01","010","Montgomery County","101","1010","Montgomery County",57461,39992,226,879,,61959,47320,188,1060,
"G0101030","1990","Alabama","01","010","Morgan County","103","1030","Morgan County",43521,4716,168,270,,45601,5365,142,260,
"G0101050","1990","Alabama","01","010","Perry County","105","1050","Perry County",2167,3753,8,12,,2336,4466,8,9,
"G0101070","1990","Alabama","01","010","Pickens County","107","1070","Pickens County",5857,3787,8,8,,6145,4858,16,20,
"G0101090","1990","Alabama","01","010","Pike County","109","1090","Pike County",8613,4204,68,45,,9201,5344,78,42,
"G0101110","1990","Alabama","01","010","Randolph County","111","1110","Randolph County",7392,2204,10,14,,7746,2482,19,14,
"G0101130","1990","Alabama","01","010","Russell County","113","1130","Russell County",13877,8374,48,93,,14596,9714,42,116,
"G0101150","1990","Alabama","01","010","St. Clair County","115","1150","St. Clair County",22513,2441,76,85,,22625,2120,60,89,
"G0101170","1990","Alabama","01","010","Shelby County","117","1170","Shelby County",44632,3557,132,314,,46083,4161,132,347,
"G0101190","1990","Alabama","01","010","Sumter County","119","1190","Sumter County",2303,5141,3,22,,2456,6228,3,18,
"G0101210","1990","Alabama","01","010","Talladega County","121","1210","Talladega County",24807,10768,94,108,,26163,12005,80,82,
"G0101230","1990","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa County",13617,4594,27,24,,14876,5618,35,35,
"G0101250","1990","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa County",53872,17804,118,851,,55526,21573,135,643,
"G0101270","1990","Alabama","01","010","Walker County","127","1270","Walker County",30407,1983,48,46,,32635,2422,36,93,
"G0101290","1990","Alabama","01","010","Washington County","129","1290","Washington County",5421,2192,525,6,,5563,2431,543,13,
"G0101310","1990","Alabama","01","010","Wilcox County","131","1310","Wilcox County",2011,4298,2,1,,2192,5055,4,5,
"G0101330","1990","Alabama","01","010","Winston County","133","1330","Winston County",10707,23,15,12,,11218,34,27,17,
"G0200130","1990","Alaska","02","020","Aleutians East Borough","013","0130","Aleutians East Borough",553,13,580,436,,274,3,462,143,
"G0200160","1990","Alaska","02","020","Aleutians West Census Area","016","0160","Aleutians West Census Area",4257,429,599,953,,2103,233,477,427,
"G0200200","1990","Alaska","02","020","Anchorage Municipality","020","0200","Anchorage Borough",95174,7702,6665,6826,,87562,6842,7904,7663,
"G0200500","1990","Alaska","02","020","Bethel Census Area","050","0500","Bethel Census Area",1244,44,5806,61,,861,18,5564,58,
"G0200600","1990","Alaska","02","020","Bristol Bay Borough","060","0600","Bristol Bay Borough",560,32,238,15,,334,6,217,8,
"G0200700","1990","Alaska","02","020","Dillingham Census Area","070","0700","Dillingham Census Area",582,5,1457,32,,437,3,1468,28,
"G0200900","1990","Alaska","02","020","Fairbanks North Star Borough","090","0900","Fairbanks North Star Borough",34464,3107,2477,1458,,29287,2446,2853,1628,
"G0201000","1990","Alaska","02","020","Haines Borough","100","1000","Haines Borough",960,1,151,18,,842,0,128,17,
"G0201100","1990","Alaska","02","020","Juneau City and Borough","110","1100","Juneau Borough",11000,184,1651,740,,10570,108,1811,687,
"G0201220","1990","Alaska","02","020","Kenai Peninsula Borough","122","1220","Kenai Peninsula Borough",19649,145,1552,260,,17440,58,1383,315,
"G0201300","1990","Alaska","02","020","Ketchikan Gateway Borough","130","1300","Ketchikan Gateway Borough",5953,35,951,278,,5363,20,947,281,
"G0201500","1990","Alaska","02","020","Kodiak Island Borough","150","1500","Kodiak Island Borough",5252,86,1093,964,,4037,49,1033,795,
"G0201640","1990","Alaska","02","020","Lake and Peninsula Borough","164","1640","Lake and Peninsula Borough",230,0,667,14,,159,0,594,4,
"G0201700","1990","Alaska","02","020","Matanuska-Susitna Borough","170","1700","Matanuska-Susitna Borough",19232,200,963,210,,17717,107,976,278,
"G0201800","1990","Alaska","02","020","Nome Census Area","180","1800","Nome Census Area",1203,7,3212,58,,820,2,2936,50,
"G0201850","1990","Alaska","02","020","North Slope Borough","185","1850","North Slope Borough",812,26,2246,174,,462,15,2090,154,
"G0201880","1990","Alaska","02","020","Northwest Arctic Borough","188","1880","Northwest Arctic Borough",509,9,2681,25,,332,3,2528,26,
"G0202010","1990","Alaska","02","020","Prince Of Wales-Outer Ketchikan","201","2010","Prince of Wales-Outer Ketchikan Census Area",2251,8,1260,26,,1608,1,1098,26,
"G0202200","1990","Alaska","02","020","Sitka City and Borough","220","2200","Sitka Borough",3401,18,890,195,,2958,21,907,198,
