GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B69AA125,B69AB125,B69AC125,B84AA125,B84AB125,B84AC125,B84AD125,B84AE125,B84AF125,B69AA125M,B69AB125M,B69AC125M,B84AA125M,B84AB125M,B84AC125M,B84AD125M,B84AE125M,B84AF125M
"G1800430","2008-2012","Indiana","18","180","Floyd County","043","0430","Floyd County, Indiana",1781,37140,11212,40377,0,40377,36963,3414,18715,254,1124,582,581,27,581,678,347,603
"G1800450","2008-2012","Indiana","18","180","Fountain County","045","0450","Fountain County, Indiana",526,10016,1317,8471,0,8471,7628,843,5142,104,411,175,252,18,252,264,139,243
"G1800470","2008-2012","Indiana","18","180","Franklin County","047","0470","Franklin County, Indiana",599,12165,2736,11480,2,11478,10679,799,6375,126,563,300,303,3,302,337,199,315
"G1800490","2008-2012","Indiana","18","180","Fulton County","049","0490","Fulton County, Indiana",642,11424,2075,9821,2,9819,9008,811,6470,156,551,285,357,4,357,325,173,345
"G1800510","2008-2012","Indiana","18","180","Gibson County","051","0510","Gibson County, Indiana",658,18681,3230,16945,5,16940,15824,1116,9321,158,677,308,447,7,447,501,232,429
"G1800530","2008-2012","Indiana","18","180","Grant County","053","0530","Grant County, Indiana",1832,35821,7847,32321,48,32273,28764,3509,24426,270,973,529,730,46,722,689,334,743
"G1800550","2008-2012","Indiana","18","180","Greene County","055","0550","Greene County, Indiana",926,19238,2565,16032,16,16016,14476,1540,10142,165,780,317,438,20,436,501,279,433
"G1800570","2008-2012","Indiana","18","180","Hamilton County","057","0570","Hamilton County, Indiana",1667,77976,97481,148878,277,148601,141125,7476,53333,309,1976,1975,1278,130,1307,1312,590,1342
"G1800590","2008-2012","Indiana","18","180","Hancock County","059","0590","Hancock County, Indiana",665,34111,11853,35918,109,35809,33458,2351,17913,156,1123,715,706,85,693,721,378,689
"G1800610","2008-2012","Indiana","18","180","Harrison County","061","0610","Harrison County, Indiana",1094,21860,3901,19930,35,19895,18064,1831,11147,237,904,417,464,34,469,516,317,473
"G1800630","2008-2012","Indiana","18","180","Hendricks County","063","0630","Hendricks County, Indiana",1678,63266,30576,76449,101,76348,72156,4192,34458,273,1611,1066,984,108,1003,1024,424,1032
"G1800650","2008-2012","Indiana","18","180","Henry County","065","0650","Henry County, Indiana",1642,28259,4873,21786,18,21768,19069,2699,18123,224,840,375,530,18,530,502,334,558
"G1800670","2008-2012","Indiana","18","180","Howard County","067","0670","Howard County, Indiana",1742,43770,11184,38554,21,38533,33999,4534,27156,258,1119,555,710,26,709,802,474,700
"G1800690","2008-2012","Indiana","18","180","Huntington County","069","0690","Huntington County, Indiana",773,19949,3918,19816,11,19805,17541,2264,9595,162,662,306,431,12,430,470,256,452
"G1800710","2008-2012","Indiana","18","180","Jackson County","071","0710","Jackson County, Indiana",1412,23365,3885,21623,6,21617,19419,2198,11418,248,806,387,552,10,551,621,312,540
"G1800730","2008-2012","Indiana","18","180","Jasper County","073","0730","Jasper County, Indiana",730,17856,3146,16303,0,16303,14827,1476,9444,161,723,317,447,24,447,443,231,445
"G1800750","2008-2012","Indiana","18","180","Jay County","075","0750","Jay County, Indiana",479,12086,1372,10893,0,10893,9754,1139,5507,99,488,192,304,21,304,339,172,298
"G1800770","2008-2012","Indiana","18","180","Jefferson County","077","0770","Jefferson County, Indiana",1074,17035,3698,15868,0,15868,14375,1493,10292,236,745,355,502,24,502,520,253,496
"G1800790","2008-2012","Indiana","18","180","Jennings County","079","0790","Jennings County, Indiana",745,16186,1663,14154,58,14096,12269,1827,7686,169,767,260,410,50,416,501,360,420
"G1800810","2008-2012","Indiana","18","180","Johnson County","081","0810","Johnson County, Indiana",2686,65093,23719,74384,575,73809,68694,5115,32871,387,1560,915,922,250,936,1073,499,968
"G1800830","2008-2012","Indiana","18","180","Knox County","083","0830","Knox County, Indiana",909,20407,3646,18558,48,18510,17199,1311,12643,187,742,370,602,65,594,535,265,615
"G1800850","2008-2012","Indiana","18","180","Kosciusko County","085","0850","Kosciusko County, Indiana",2955,37396,10186,40837,23,40814,36673,4141,18981,332,1033,593,607,26,610,671,422,622
"G1800870","2008-2012","Indiana","18","180","LaGrange County","087","0870","LaGrange County, Indiana",5585,13133,2298,16778,2,16776,15166,1610,8989,320,632,261,387,5,387,377,270,379
"G1800890","2008-2012","Indiana","18","180","Lake County","089","0890","Lake County, Indiana",15310,245745,64109,240961,240,240721,213696,27025,142383,841,2882,1517,1498,110,1509,1611,1146,1455
"G1800910","2008-2012","Indiana","18","180","LaPorte County","091","0910","LaPorte County, Indiana",2752,60970,12845,53594,30,53564,47716,5848,35431,323,1294,603,858,32,860,856,437,871
"G1800930","2008-2012","Indiana","18","180","Lawrence County","093","0930","Lawrence County, Indiana",1677,26183,4140,21307,64,21243,19171,2072,15284,270,920,396,465,52,467,539,296,472
"G1800950","2008-2012","Indiana","18","180","Madison County","095","0950","Madison County, Indiana",3363,70601,15192,62374,69,62305,55181,7124,42081,338,1439,707,734,67,733,809,573,736
"G1800970","2008-2012","Indiana","18","180","Marion County","097","0970","Marion County, Indiana",29977,393173,161100,481283,635,480648,426726,53922,220522,1332,4193,2584,2291,209,2306,2891,1804,2366
"G1800990","2008-2012","Indiana","18","180","Marshall County","099","0990","Marshall County, Indiana",1899,23959,4872,23878,0,23878,21656,2222,12069,254,748,347,454,24,454,509,263,464
"G1801010","2008-2012","Indiana","18","180","Martin County","101","1010","Martin County, Indiana",453,5831,795,5070,41,5029,4633,396,3086,116,378,147,234,36,231,236,124,228
"G1801030","2008-2012","Indiana","18","180","Miami County","103","1030","Miami County, Indiana",1160,21602,2498,17166,77,17089,14787,2302,12428,255,838,329,538,45,535,639,404,554
"G1801050","2008-2012","Indiana","18","180","Monroe County","105","1050","Monroe County, Indiana",2105,40753,32765,71464,126,71338,65897,5441,46378,325,1187,1076,1242,93,1234,1315,615,1269
"G1801070","2008-2012","Indiana","18","180","Montgomery County","107","1070","Montgomery County, Indiana",822,20101,4460,19260,0,19260,17458,1802,10978,185,750,360,478,24,478,476,253,474
"G1801090","2008-2012","Indiana","18","180","Morgan County","109","1090","Morgan County, Indiana",1440,37874,7250,35339,60,35279,32049,3230,18414,241,1123,510,622,48,623,616,344,634
"G1801110","2008-2012","Indiana","18","180","Newton County","111","1110","Newton County, Indiana",377,8601,863,7167,0,7167,6477,690,4208,105,415,158,200,18,200,232,162,199
"G1801130","2008-2012","Indiana","18","180","Noble County","113","1130","Noble County, Indiana",2122,24748,3890,24287,13,24274,21488,2786,12174,277,858,341,517,21,519,546,332,501
"G1801150","2008-2012","Indiana","18","180","Ohio County","115","1150","Ohio County, Indiana",141,3652,573,3297,8,3289,2952,337,1632,61,260,136,149,11,148,167,97,151
"G1801170","2008-2012","Indiana","18","180","Orange County","117","1170","Orange County, Indiana",986,10574,1770,9163,9,9154,8255,899,6502,203,507,237,307,16,306,343,180,317
"G1801190","2008-2012","Indiana","18","180","Owen County","119","1190","Owen County, Indiana",818,12571,1497,10298,5,10293,9473,820,7011,181,563,213,372,7,373,434,193,394
"G1801210","2008-2012","Indiana","18","180","Parke County","121","1210","Parke County, Indiana",701,9680,1738,7558,0,7558,6916,642,6456,158,494,227,340,18,340,332,140,348
"G1801230","2008-2012","Indiana","18","180","Perry County","123","1230","Perry County, Indiana",729,11536,1392,9275,0,9275,8591,684,6537,134,519,205,283,18,283,318,151,283
"G1801250","2008-2012","Indiana","18","180","Pike County","125","1250","Pike County, Indiana",517,7613,893,5979,0,5979,5577,402,4345,122,399,142,240,18,240,251,104,228
"G1801270","2008-2012","Indiana","18","180","Porter County","127","1270","Porter County, Indiana",2459,79521,27691,84420,156,84264,77610,6654,45094,339,1673,1015,893,81,909,1050,667,916
"G1801290","2008-2012","Indiana","18","180","Posey County","129","1290","Posey County, Indiana",403,13782,3450,13783,18,13765,12802,963,6818,111,564,308,313,25,314,361,226,310
"G1801310","2008-2012","Indiana","18","180","Pulaski County","131","1310","Pulaski County, Indiana",317,7476,1298,6368,0,6368,5755,613,4187,95,394,159,233,18,233,276,122,233
"G1801330","2008-2012","Indiana","18","180","Putnam County","133","1330","Putnam County, Indiana",921,19661,4096,16903,46,16857,15431,1426,14270,161,759,422,565,59,568,508,222,589
"G1801350","2008-2012","Indiana","18","180","Randolph County","135","1350","Randolph County, Indiana",848,14795,2156,12589,1,12588,11389,1199,7930,164,552,248,331,5,331,357,192,336
"G1801370","2008-2012","Indiana","18","180","Ripley County","137","1370","Ripley County, Indiana",776,15363,2824,14502,4,14498,13249,1249,7522,140,587,262,326,5,326,398,273,304
"G1801390","2008-2012","Indiana","18","180","Rush County","139","1390","Rush County, Indiana",463,9629,1627,8923,0,8923,8080,843,4697,135,464,216,213,18,213,262,167,217
"G1801410","2008-2012","Indiana","18","180","St. Joseph County","141","1410","St. Joseph County, Indiana",5644,119941,45240,135720,137,135583,120550,15033,73006,449,2065,1260,1367,113,1390,1543,695,1393
"G1801430","2008-2012","Indiana","18","180","Scott County","143","1430","Scott County, Indiana",1496,13140,1658,11396,0,11396,9858,1538,7499,248,690,270,380,21,380,417,307,369
"G1801450","2008-2012","Indiana","18","180","Shelby County","145","1450","Shelby County, Indiana",1077,24311,4646,23713,69,23644,21312,2332,11171,183,859,386,430,51,433,531,348,468
"G1801470","2008-2012","Indiana","18","180","Spencer County","147","1470","Spencer County, Indiana",507,11859,2218,10819,0,10819,10055,764,5806,105,475,238,333,21,333,366,151,339
"G1801490","2008-2012","Indiana","18","180","Starke County","149","1490","Starke County, Indiana",947,12999,1856,10699,11,10688,9265,1423,7767,187,513,219,367,18,369,372,215,382
"G1801510","2008-2012","Indiana","18","180","Steuben County","151","1510","Steuben County, Indiana",626,17600,4479,18334,17,18317,16381,1936,9032,142,641,362,383,30,382,428,278,394
"G1801530","2008-2012","Indiana","18","180","Sullivan County","153","1530","Sullivan County, Indiana",627,12399,2007,9159,0,9159,8384,775,8199,154,557,258,326,21,326,361,184,368
"G1801550","2008-2012","Indiana","18","180","Switzerland County","155","1550","Switzerland County, Indiana",503,5852,652,5174,0,5174,4608,566,3023,127,394,135,243,18,243,255,132,244
"G1801570","2008-2012","Indiana","18","180","Tippecanoe County","157","1570","Tippecanoe County, Indiana",3270,57519,33748,90888,46,90842,83550,7292,50649,420,1428,1039,1180,37,1180,1197,647,1205
"G1801590","2008-2012","Indiana","18","180","Tipton County","159","1590","Tipton County, Indiana",512,8916,1748,7943,2,7941,7272,669,4788,142,508,255,260,5,260,287,147,282
"G1801610","2008-2012","Indiana","18","180","Union County","161","1610","Union County, Indiana",253,3867,918,3850,0,3850,3499,351,2036,97,282,159,176,16,176,206,100,162
"G1801630","2008-2012","Indiana","18","180","Vanderburgh County","163","1630","Vanderburgh County, Indiana",3611,89247,26115,93690,212,93478,87538,5940,50409,375,1811,915,1058,99,1054,1152,552,1036
"G1801650","2008-2012","Indiana","18","180","Vermillion County","165","1650","Vermillion County, Indiana",432,9289,1570,7741,0,7741,7043,698,5108,124,429,217,260,18,260,265,120,270
"G1801670","2008-2012","Indiana","18","180","Vigo County","167","1670","Vigo County, Indiana",2189,52232,14773,51387,215,51172,46947,4225,36208,275,1301,766,979,120,958,934,439,1008
"G1801690","2008-2012","Indiana","18","180","Wabash County","169","1690","Wabash County, Indiana",964,17564,3534,15990,13,15977,14345,1632,10576,181,682,319,365,18,366,456,251,396
"G1801710","2008-2012","Indiana","18","180","Warren County","171","1710","Warren County, Indiana",261,4815,829,4160,0,4160,3887,273,2612,90,297,121,133,16,133,153,102,129
"G1801730","2008-2012","Indiana","18","180","Warrick County","173","1730","Warrick County, Indiana",715,28722,10771,31504,13,31491,29353,2138,14474,161,1025,619,536,20,539,558,311,573
"G1801750","2008-2012","Indiana","18","180","Washington County","175","1750","Washington County, Indiana",1184,15521,2184,13819,8,13811,12365,1446,8083,191,670,282,386,12,387,419,214,403
"G1801770","2008-2012","Indiana","18","180","Wayne County","177","1770","Wayne County, Indiana",2304,36268,7951,33049,38,33011,29151,3860,21935,268,1026,480,640,41,642,610,363,652
"G1801790","2008-2012","Indiana","18","180","Wells County","179","1790","Wells County, Indiana",472,15297,2906,14364,14,14350,13152,1198,7382,115,644,309,312,24,318,375,208,308
"G1801810","2008-2012","Indiana","18","180","White County","181","1810","White County, Indiana",566,13856,2494,12638,49,12589,11504,1085,6834,121,590,302,353,42,361,373,171,361
"G1801830","2008-2012","Indiana","18","180","Whitley County","183","1830","Whitley County, Indiana",413,18469,3596,17797,39,17758,16054,1704,8202,141,738,337,334,50,327,403,237,355
"G1900010","2008-2012","Iowa","19","190","Adair County","001","0010","Adair County, Iowa",184,4429,847,4156,0,4156,3990,166,2016,63,223,106,117,14,117,125,50,112
"G1900030","2008-2012","Iowa","19","190","Adams County","003","0030","Adams County, Iowa",104,2353,467,2164,24,2140,2048,92,1165,48,156,78,87,31,92,99,34,88
"G1900050","2008-2012","Iowa","19","190","Allamakee County","005","0050","Allamakee County, Iowa",626,8006,1380,7612,0,7612,7012,600,3881,125,374,174,229,16,229,273,159,224
"G1900070","2008-2012","Iowa","19","190","Appanoose County","007","0070","Appanoose County, Iowa",505,7008,1517,6431,3,6428,5806,622,3851,115,332,174,234,6,234,258,139,225
"G1900090","2008-2012","Iowa","19","190","Audubon County","009","0090","Audubon County, Iowa",175,3525,702,3281,0,3281,3196,85,1676,52,198,105,111,14,111,112,30,105
"G1900110","2008-2012","Iowa","19","190","Benton County","011","0110","Benton County, Iowa",419,14051,3243,14054,3,14051,13359,692,6168,90,529,261,282,4,282,269,141,271
"G1900130","2008-2012","Iowa","19","190","Black Hawk County","013","0130","Black Hawk County, Iowa",3045,57944,20900,70733,103,70630,65445,5185,34883,346,1281,770,735,49,735,704,481,737
"G1900150","2008-2012","Iowa","19","190","Boone County","015","0150","Boone County, Iowa",452,13956,3652,14270,46,14224,13574,650,6743,165,602,309,268,34,272,303,168,284
"G1900170","2008-2012","Iowa","19","190","Bremer County","017","0170","Bremer County, Iowa",460,10993,4339,13309,29,13280,12627,653,6221,99,432,263,258,28,254,325,145,269
"G1900190","2008-2012","Iowa","19","190","Buchanan County","019","0190","Buchanan County, Iowa",567,10775,2461,11011,1,11010,10428,582,4982,127,418,230,211,2,211,254,134,198
"G1900210","2008-2012","Iowa","19","190","Buena Vista County","021","0210","Buena Vista County, Iowa",1497,8601,2657,11129,11,11118,10761,357,4612,263,410,232,257,11,256,255,117,237
"G1900230","2008-2012","Iowa","19","190","Butler County","023","0230","Butler County, Iowa",531,8317,1622,7535,8,7527,7178,349,4215,107,300,137,172,12,174,191,78,173
"G1900250","2008-2012","Iowa","19","190","Calhoun County","025","0250","Calhoun County, Iowa",249,5646,1388,4828,5,4823,4642,181,3388,71,275,152,188,7,189,199,67,188
"G1900270","2008-2012","Iowa","19","190","Carroll County","027","0270","Carroll County, Iowa",741,10924,2498,11413,0,11413,11104,309,4773,129,450,249,237,18,237,259,103,236
"G1900290","2008-2012","Iowa","19","190","Cass County","029","0290","Cass County, Iowa",217,7923,1606,7227,0,7227,6908,319,3852,72,357,183,189,16,189,206,100,190
"G1900310","2008-2012","Iowa","19","190","Cedar County","031","0310","Cedar County, Iowa",353,9950,2532,10375,16,10359,9934,425,4063,91,438,257,221,17,224,243,103,221
"G1900330","2008-2012","Iowa","19","190","Cerro Gordo County","033","0330","Cerro Gordo County, Iowa",808,23730,6526,24589,61,24528,23114,1414,11144,185,910,454,391,73,397,423,233,381
"G1900350","2008-2012","Iowa","19","190","Cherokee County","035","0350","Cherokee County, Iowa",250,6712,1644,6472,5,6467,6289,178,3394,85,360,193,223,5,222,248,71,221
"G1900370","2008-2012","Iowa","19","190","Chickasaw County","037","0370","Chickasaw County, Iowa",460,6884,1285,6337,0,6337,5996,341,3549,100,298,164,199,16,199,213,92,198
"G1900390","2008-2012","Iowa","19","190","Clarke County","039","0390","Clarke County, Iowa",330,5176,813,4890,81,4809,4595,214,2404,136,400,156,254,129,271,288,100,192
"G1900410","2008-2012","Iowa","19","190","Clay County","041","0410","Clay County, Iowa",279,9220,2181,9210,36,9174,8579,595,4008,97,489,272,274,43,268,291,128,250
"G1900430","2008-2012","Iowa","19","190","Clayton County","043","0430","Clayton County, Iowa",569,10169,1952,9673,0,9673,9180,493,4696,99,335,179,191,16,191,221,95,184
"G1900450","2008-2012","Iowa","19","190","Clinton County","045","0450","Clinton County, Iowa",1448,26316,5818,25776,13,25763,23994,1769,13167,235,834,454,445,9,445,498,270,447
"G1900470","2008-2012","Iowa","19","190","Crawford County","047","0470","Crawford County, Iowa",1462,8233,1459,8531,0,8531,8136,395,4613,255,429,196,290,16,290,289,132,278
"G1900490","2008-2012","Iowa","19","190","Dallas County","049","0490","Dallas County, Iowa",1037,24141,18301,37140,100,37040,35749,1291,12374,240,902,814,666,56,665,678,286,665
"G1900510","2008-2012","Iowa","19","190","Davis County","051","0510","Davis County, Iowa",635,4008,891,3937,0,3937,3666,271,2558,138,299,169,189,14,189,192,94,177
"G1900530","2008-2012","Iowa","19","190","Decatur County","053","0530","Decatur County, Iowa",345,3915,987,4094,3,4091,3784,307,2612,91,233,130,216,4,216,213,72,208
"G1900550","2008-2012","Iowa","19","190","Delaware County","055","0550","Delaware County, Iowa",535,9728,1837,9891,2,9889,9477,412,3925,115,452,219,271,3,271,305,129,266
"G1900570","2008-2012","Iowa","19","190","Des Moines County","057","0570","Des Moines County, Iowa",810,21656,5455,20232,54,20178,18645,1533,11806,177,762,396,409,46,411,506,234,432
"G1900590","2008-2012","Iowa","19","190","Dickinson County","059","0590","Dickinson County, Iowa",258,8929,3414,9466,14,9452,9037,415,4508,86,470,286,256,20,255,261,123,236
"G1900610","2008-2012","Iowa","19","190","Dubuque County","061","0610","Dubuque County, Iowa",2397,43092,16301,52289,42,52247,49712,2535,21947,291,1037,688,629,30,632,734,291,604
"G1900630","2008-2012","Iowa","19","190","Emmet County","063","0630","Emmet County, Iowa",399,5377,1117,5437,3,5434,5133,301,2752,152,325,152,178,6,177,195,84,179
"G1900650","2008-2012","Iowa","19","190","Fayette County","065","0650","Fayette County, Iowa",543,11005,2533,10485,9,10476,9848,628,6296,96,453,226,265,14,264,273,128,294
"G1900670","2008-2012","Iowa","19","190","Floyd County","067","0670","Floyd County, Iowa",315,9089,1823,8407,0,8407,7871,536,4563,83,448,217,250,16,250,260,127,257
"G1900690","2008-2012","Iowa","19","190","Franklin County","069","0690","Franklin County, Iowa",346,5952,1136,5640,0,5640,5398,242,2826,115,389,149,180,16,180,211,111,181
"G1900710","2008-2012","Iowa","19","190","Fremont County","071","0710","Fremont County, Iowa",132,4099,969,3760,10,3750,3581,169,2112,46,194,100,102,13,103,101,53,104
"G1900730","2008-2012","Iowa","19","190","Greene County","073","0730","Greene County, Iowa",207,5239,1114,4894,3,4891,4621,270,2534,79,316,150,153,8,152,165,70,162
"G1900750","2008-2012","Iowa","19","190","Grundy County","075","0750","Grundy County, Iowa",285,6522,1838,6488,17,6471,6220,251,3371,83,284,166,126,16,127,142,66,145
"G1900770","2008-2012","Iowa","19","190","Guthrie County","077","0770","Guthrie County, Iowa",188,6159,1436,5624,10,5614,5331,283,3062,57,294,175,157,12,158,173,70,153
"G1900790","2008-2012","Iowa","19","190","Hamilton County","079","0790","Hamilton County, Iowa",416,8563,1799,7942,0,7942,7440,502,4360,124,444,216,204,16,204,201,130,191
"G1900810","2008-2012","Iowa","19","190","Hancock County","081","0810","Hancock County, Iowa",351,6392,1289,5952,0,5952,5651,301,3018,93,334,160,175,16,175,183,86,177
"G1900830","2008-2012","Iowa","19","190","Hardin County","083","0830","Hardin County, Iowa",438,9370,2216,8737,2,8735,8215,520,5203,94,420,207,236,3,235,255,129,219
"G1900850","2008-2012","Iowa","19","190","Harrison County","085","0850","Harrison County, Iowa",285,8260,1718,7804,23,7781,7380,401,3972,73,336,169,179,30,187,205,91,186
"G1900870","2008-2012","Iowa","19","190","Henry County","087","0870","Henry County, Iowa",503,10634,2706,9932,19,9913,9330,583,6165,142,504,269,336,28,337,363,147,319
"G1900890","2008-2012","Iowa","19","190","Howard County","089","0890","Howard County, Iowa",416,5255,796,5070,5,5065,4838,227,2391,99,309,143,145,9,146,169,73,134
"G1900910","2008-2012","Iowa","19","190","Humboldt County","091","0910","Humboldt County, Iowa",238,5430,1177,4998,5,4993,4811,182,2758,68,284,159,119,7,118,118,50,127
"G1900930","2008-2012","Iowa","19","190","Ida County","093","0930","Ida County, Iowa",200,3836,937,3716,0,3716,3558,158,1904,66,194,110,130,14,130,139,47,127
"G1900950","2008-2012","Iowa","19","190","Iowa County","095","0950","Iowa County, Iowa",339,8601,2387,9173,0,9173,8835,338,3676,81,388,262,210,16,210,223,106,217
"G1900970","2008-2012","Iowa","19","190","Jackson County","097","0970","Jackson County, Iowa",767,11054,2063,10426,0,10426,9986,440,5417,124,452,199,259,16,259,244,120,262
"G1900990","2008-2012","Iowa","19","190","Jasper County","099","0990","Jasper County, Iowa",776,20642,4450,18373,9,18364,17216,1148,11239,152,726,350,479,10,478,487,209,488
"G1901010","2008-2012","Iowa","19","190","Jefferson County","101","1010","Jefferson County, Iowa",237,7983,3537,8707,0,8707,8232,475,5233,87,512,378,393,16,393,424,170,433
"G1901030","2008-2012","Iowa","19","190","Johnson County","103","1030","Johnson County, Iowa",1637,35841,39320,78178,79,78099,74727,3372,30105,280,1231,1146,1037,93,1023,1081,463,1037
"G1901050","2008-2012","Iowa","19","190","Jones County","105","1050","Jones County, Iowa",437,11641,2574,10583,2,10581,10008,573,6181,112,478,236,359,3,360,346,139,369
"G1901070","2008-2012","Iowa","19","190","Keokuk County","107","1070","Keokuk County, Iowa",313,6058,949,5404,0,5404,5063,341,2894,62,251,115,132,16,132,150,70,132
"G1901090","2008-2012","Iowa","19","190","Kossuth County","109","1090","Kossuth County, Iowa",399,8699,1990,8126,0,8126,7893,233,4353,98,356,192,196,16,196,203,63,199
"G1901110","2008-2012","Iowa","19","190","Lee County","111","1110","Lee County, Iowa",774,20466,3709,17915,25,17890,16444,1446,10810,150,699,296,393,25,397,399,257,390
"G1901130","2008-2012","Iowa","19","190","Linn County","113","1130","Linn County, Iowa",2587,93739,42995,117882,116,117766,111710,6056,48142,336,1743,1244,1032,86,1037,1124,569,1028
"G1901150","2008-2012","Iowa","19","190","Louisa County","115","1150","Louisa County, Iowa",648,5987,1019,6093,0,6093,5614,479,2758,106,288,133,166,16,166,196,110,171
"G1901170","2008-2012","Iowa","19","190","Lucas County","117","1170","Lucas County, Iowa",305,5142,719,4306,10,4296,3837,459,2764,82,302,130,168,16,166,202,139,164
"G1901190","2008-2012","Iowa","19","190","Lyon County","119","1190","Lyon County, Iowa",579,5786,1244,6121,0,6121,5900,221,2581,91,265,140,144,16,144,161,64,143
"G1901210","2008-2012","Iowa","19","190","Madison County","121","1210","Madison County, Iowa",155,8105,2221,8410,18,8392,7922,470,3473,64,430,233,267,24,270,272,121,246
"G1901230","2008-2012","Iowa","19","190","Mahaska County","123","1230","Mahaska County, Iowa",596,11112,3030,11811,21,11790,10848,942,5720,111,484,264,321,20,325,407,226,324
"G1901250","2008-2012","Iowa","19","190","Marion County","125","1250","Marion County, Iowa",643,15785,5242,17535,13,17522,16654,868,8536,118,615,380,365,14,363,387,160,365
"G1901270","2008-2012","Iowa","19","190","Marshall County","127","1270","Marshall County, Iowa",2214,19771,4975,20503,17,20486,19040,1446,11059,290,685,367,437,22,441,505,228,422
"G1901290","2008-2012","Iowa","19","190","Mills County","129","1290","Mills County, Iowa",365,7381,2514,7596,30,7566,7225,341,4057,126,372,243,309,21,307,313,88,327
"G1901310","2008-2012","Iowa","19","190","Mitchell County","131","1310","Mitchell County, Iowa",358,5978,1099,5463,0,5463,5268,195,3047,91,317,158,163,16,163,168,70,168
"G1901330","2008-2012","Iowa","19","190","Monona County","133","1330","Monona County, Iowa",313,5350,983,4601,3,4598,4305,293,2857,74,285,140,157,5,157,175,88,153
"G1901350","2008-2012","Iowa","19","190","Monroe County","135","1350","Monroe County, Iowa",264,4303,960,3937,0,3937,3690,247,2435,84,311,158,217,14,217,229,87,206
"G1901370","2008-2012","Iowa","19","190","Montgomery County","137","1370","Montgomery County, Iowa",535,5860,1196,5282,0,5282,4795,487,3334,130,332,145,191,16,191,198,130,199
"G1901390","2008-2012","Iowa","19","190","Muscatine County","139","1390","Muscatine County, Iowa",1888,21516,4767,22586,16,22570,20950,1620,10435,266,833,347,449,22,451,503,322,427
"G1901410","2008-2012","Iowa","19","190","O'Brien County","141","1410","O'Brien County, Iowa",447,7605,1963,7441,0,7441,7209,232,4024,94,401,223,230,16,230,216,73,231
"G1901430","2008-2012","Iowa","19","190","Osceola County","143","1430","Osceola County, Iowa",338,3545,594,3509,5,3504,3388,116,1599,92,235,99,117,8,117,127,43,117
"G1901450","2008-2012","Iowa","19","190","Page County","145","1450","Page County, Iowa",434,8896,2020,7529,11,7518,7075,443,5449,108,409,217,232,18,234,260,110,240
"G1901470","2008-2012","Iowa","19","190","Palo Alto County","147","1470","Palo Alto County, Iowa",279,5222,969,4865,18,4847,4531,316,2683,74,289,134,150,18,150,196,124,153
"G1901490","2008-2012","Iowa","19","190","Plymouth County","149","1490","Plymouth County, Iowa",607,12892,3411,14135,0,14135,13805,330,5278,125,513,310,295,18,295,303,86,291
"G1901510","2008-2012","Iowa","19","190","Pocahontas County","151","1510","Pocahontas County, Iowa",190,4149,918,3841,14,3827,3631,196,2114,58,208,114,118,14,119,125,54,112
"G1901530","2008-2012","Iowa","19","190","Polk County","153","1530","Polk County, Iowa",9019,176272,96865,245184,514,244670,230366,14304,87732,690,2586,1808,1487,189,1506,1599,804,1376
"G1901550","2008-2012","Iowa","19","190","Pottawattamie County","155","1550","Pottawattamie County, Iowa",2233,48330,11216,50309,43,50266,47102,3164,22627,296,1089,513,605,30,614,690,450,609
"G1901570","2008-2012","Iowa","19","190","Poweshiek County","157","1570","Poweshiek County, Iowa",257,9273,2778,10471,0,10471,9850,621,4855,79,439,256,301,16,301,336,143,288
"G1901590","2008-2012","Iowa","19","190","Ringgold County","159","1590","Ringgold County, Iowa",208,2640,682,2393,0,2393,2258,135,1572,68,171,106,106,14,106,107,52,100
"G1901610","2008-2012","Iowa","19","190","Sac County","161","1610","Sac County, Iowa",220,5810,1374,5450,0,5450,5242,208,2835,56,248,140,119,16,119,122,52,120
"G1901630","2008-2012","Iowa","19","190","Scott County","163","1630","Scott County, Iowa",2620,73541,33900,86995,425,86570,81635,4935,42340,301,1550,1002,1027,120,1011,968,496,1077
"G1901650","2008-2012","Iowa","19","190","Shelby County","165","1650","Shelby County, Iowa",432,6660,1459,6249,9,6240,6072,168,3406,109,320,164,173,12,175,175,54,171
"G1901670","2008-2012","Iowa","19","190","Sioux County","167","1670","Sioux County, Iowa",1478,13933,4635,19118,0,19118,18621,497,6668,207,525,344,312,21,312,334,128,330
"G1901690","2008-2012","Iowa","19","190","Story County","169","1690","Story County, Iowa",880,23817,22546,52639,84,52555,49541,3014,22860,228,859,801,926,49,923,909,367,930
"G1901710","2008-2012","Iowa","19","190","Tama County","171","1710","Tama County, Iowa",505,9638,1849,9006,23,8983,8405,578,4815,93,376,150,189,25,188,186,106,183
"G1901730","2008-2012","Iowa","19","190","Taylor County","173","1730","Taylor County, Iowa",159,3723,585,3241,0,3241,3076,165,1746,52,171,82,108,14,108,108,46,108
"G1901750","2008-2012","Iowa","19","190","Union County","175","1750","Union County, Iowa",177,6894,1423,6738,0,6738,6302,436,3167,69,401,195,208,16,208,221,126,234
"G1901770","2008-2012","Iowa","19","190","Van Buren County","177","1770","Van Buren County, Iowa",270,4323,726,3868,3,3865,3514,351,2143,76,246,107,133,5,133,157,105,139
